"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717372,"2023-07-17",2,"2023-07-18T01:55:55.337Z","2023-07-18T01:56:04.196Z",TRUE,"pitch","f16ee15f-8468-4f7d-95c2-7f449cbac6b4",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.4,1.64,NA,128.83,152.83,"fly_ball","hard","7",77.3,61.02,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Jordan Westburg flies out sharply to left fielder Chris Taylor.",0,6,4,73,"bottom",9,"2023-07-18T01:55:10.280Z","2023-07-18T01:56:04.196Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.6,1,0.89,0.389,6.8089,30.5508,-12.7378,-3.064,9.6675,-0.3103,3.1833,4.1246,-140.5792,-4.7858,-1.3954,50.0026,5.7285,-6.1602,20.4,2.4,24,2257,211,100.1,42,363,NA,NA,NA,TRUE,-12.5,16.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",1,"2023-07-18T01:55:34.400Z","2023-07-18T01:55:37.906Z",TRUE,"pitch","8d99d81c-fecc-4433-a36e-07cc4e506928",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.4,1.64,NA,137.42,149.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Jordan Westburg flies out sharply to left fielder Chris Taylor.",0,6,4,73,"bottom",9,"2023-07-18T01:55:10.280Z","2023-07-18T01:56:04.196Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.1,1,0.9,0.3947,6.8702,31.4526,-13.3277,-4.2235,9.6655,-0.5356,3.2988,3.1263,-138.848,-4.2917,-1.1281,50.0043,5.7532,-8.2369,27.6,3.6,24,2206,205,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",0,"2023-07-18T01:55:15.333Z","2023-07-18T01:55:19.217Z",TRUE,"pitch","c8140b2b-c93b-470c-863d-145189d7bf80",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.4,1.64,NA,184.23,163.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Jordan Westburg flies out sharply to left fielder Chris Taylor.",0,6,4,73,"bottom",9,"2023-07-18T01:55:10.280Z","2023-07-18T01:56:04.196Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,87,11,0.92,0.3956,6.9126,31.3819,-17.2928,-8.7229,7.6675,-1.7636,2.7724,2.4048,-138.5429,-4.6273,-1.5103,50.0055,5.6226,-16.9334,42,4.8,24,2137,211,NA,NA,NA,NA,NA,NA,FALSE,-17.2,13.1,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",4,"2023-07-18T01:54:36.404Z","2023-07-18T01:54:45.010Z",TRUE,"pitch","39fe1d70-cda5-40b4-b47c-ac8e26827bd8",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.12,1.49,NA,105.71,163.74,"ground_ball","medium","6",124.28,149.57,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Ramon Urias grounds into a double play, shortstop Miguel Rojas to first baseman Freddie Freeman. Colton Cowser out at 2nd. Ramon Urias out at 1st.",0,6,4,72,"bottom",9,"2023-07-18T01:53:02.316Z","2023-07-18T01:54:45.010Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,602104,"Ramón Urías","/api/v1/people/602104","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.5,86.7,3,0.91,0.3979,6.9161,29.3819,-17.8097,-8.8824,7.4774,0.2961,2.7793,7.1874,-137.4626,-4.4286,-1.1935,50.0034,5.614,-17.0644,39.6,4.8,24,2282,214,83.2,-42,4,NA,NA,NA,TRUE,-17.8,12.8,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",3,"2023-07-18T01:54:13.292Z","2023-07-18T01:54:17.325Z",TRUE,"pitch","ae7cfa17-55e8-4c44-8605-6df7c95baeb3",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.2142,1.5924,NA,102.64,199.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Ramon Urias grounds into a double play, shortstop Miguel Rojas to first baseman Freddie Freeman. Colton Cowser out at 2nd. Ramon Urias out at 1st.",0,6,4,72,"bottom",9,"2023-07-18T01:53:02.316Z","2023-07-18T01:54:45.010Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,602104,"Ramón Urías","/api/v1/people/602104","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,80.1,14,0.9,0.435,7.0286,23.2128,-31.7855,1.5108,0.2376,0.3766,1.4531,3.3425,-125.4759,-4.2005,-1.1641,50.0005,5.7128,2.43,4.8,8.4,24,2441,118,NA,NA,NA,NA,NA,NA,FALSE,-36.7,-0.2,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",2,"2023-07-18T01:53:54.041Z","2023-07-18T01:53:57.865Z",TRUE,"pitch","e45b53d5-fb35-45b5-89e7-163af29bbc14",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.1876,1.4908,NA,75.2,180.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Ramon Urias grounds into a double play, shortstop Miguel Rojas to first baseman Freddie Freeman. Colton Cowser out at 2nd. Ramon Urias out at 1st.",0,6,4,72,"bottom",9,"2023-07-18T01:53:02.316Z","2023-07-18T01:54:45.010Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,602104,"Ramón Urías","/api/v1/people/602104","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.5,14,0.9,0.4417,6.9131,23.9722,-28.5842,3.2579,2.305,1.0967,2.1437,4.1032,-123.8429,-3.1225,-1.0028,50.0037,5.8035,5.077,10.8,7.2,24,2609,78,NA,NA,NA,NA,NA,NA,FALSE,-34,3.7,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",1,"2023-07-18T01:53:34.635Z","2023-07-18T01:53:39.083Z",TRUE,"pitch","b76186d6-3ddb-4a79-994e-d13aaf4f6e51",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.1876,1.4908,NA,121.22,161.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Ramon Urias grounds into a double play, shortstop Miguel Rojas to first baseman Freddie Freeman. Colton Cowser out at 2nd. Ramon Urias out at 1st.",0,6,4,72,"bottom",9,"2023-07-18T01:53:02.316Z","2023-07-18T01:54:45.010Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,602104,"Ramón Urías","/api/v1/people/602104","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,80.9,2,0.85,0.43,6.9289,22.2225,-32.2604,0.7223,-0.0478,-0.1108,2.8446,2.5558,-126.6615,-1.1483,-1.2208,50.0063,5.8488,1.1913,2.4,8.4,24,2343,115,NA,NA,NA,NA,NA,NA,FALSE,-35.8,-0.1,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",0,"2023-07-18T01:53:13.559Z","2023-07-18T01:53:18.130Z",TRUE,"pitch","13e46329-951c-426e-bfb8-0cc0ae99f745",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.12,1.49,NA,118.12,140.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Ramon Urias grounds into a double play, shortstop Miguel Rojas to first baseman Freddie Freeman. Colton Cowser out at 2nd. Ramon Urias out at 1st.",0,6,4,72,"bottom",9,"2023-07-18T01:53:02.316Z","2023-07-18T01:54:45.010Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,602104,"Ramón Urías","/api/v1/people/602104","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.2,11,0.92,0.3941,6.7719,31.0038,-14.7668,-5.6895,8.8954,-0.0293,3.6327,6.4325,-138.9631,-2.5513,-1.6343,50.0002,5.543,-11.131,32.4,3.6,24,2154,216,NA,NA,NA,NA,NA,NA,FALSE,-14.2,15.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",7,"2023-07-18T01:51:34.117Z","2023-07-18T01:51:37.127Z",TRUE,"pitch","4dce5e01-816f-4d09-8c54-dea7bf248b6c",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.5633,1.7868,NA,133.96,117.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Colton Cowser walks.",0,6,4,71,"bottom",9,"2023-07-18T01:49:24.728Z","2023-07-18T01:52:10.704Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,681297,"Colton Cowser","/api/v1/people/681297","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.4,11,0.9,0.3964,6.7059,32.8636,-16.6797,-3.3209,8.0243,-0.4449,4.4987,4.3418,-138.5429,-0.2051,-1.6058,50.0043,5.6949,-6.4141,18,3.6,24,2114,214,NA,NA,NA,NA,NA,NA,FALSE,-15.6,14.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717372,"2023-07-17",9,"2023-07-18T01:51:48.140Z","2023-07-18T01:52:10.704Z",FALSE,"no_pitch","9eb609d3-d965-4473-8797-499792ed0d13",7,"Automatic Ball - Pitcher Pitch Timer Violation",NA,NA,NA,NA,FALSE,"VP",NA,FALSE,FALSE,TRUE,"VP","Automatic Ball - Pitcher Pitch Timer Violation",4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Colton Cowser walks.",0,6,4,71,"bottom",9,"2023-07-18T01:49:24.728Z","2023-07-18T01:52:10.704Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,681297,"Colton Cowser","/api/v1/people/681297","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"pitcher_pitch_timer","Pitcher Pitch Timer Violation",518489,"Ryan Brasier",FALSE,FALSE,681297,"Colton Cowser","/api/v1/people/681297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
