"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745424,"2024-04-27",4,"2024-04-27T04:22:32.248Z","2024-04-27T04:22:37.009Z",TRUE,"pitch","ad677a2a-b1a8-4bee-9c2a-8a070a5ffc9e",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.411,1.565,NA,122.88,176.87,"line_drive","medium","5",92.48,145.52,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Graham Pauley lines out to third baseman Alec Bohm.",0,9,3,77,"bottom",9,"2024-04-27T04:20:54.465Z","2024-04-27T04:22:37.009Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,688363,"Graham Pauley","/api/v1/people/688363","L","Left",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,90,5,2,0.3847,6.5306,29.0752,-16.4033,-2.6996,7.6647,-0.1543,2.2929,4.9189,-141.7632,-5.4346,-1.5526,50.0023,5.2635,-5.555,14.4,3.6,24,2508,200,68.7,19,162,NA,NA,NA,TRUE,-15.5,13.1,4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",3,"2024-04-27T04:22:13.021Z","2024-04-27T04:22:17.579Z",TRUE,"pitch","518eaeb0-f9e2-4ebf-a60d-cf68d49f95ed",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.411,1.565,NA,114.35,197.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Graham Pauley lines out to third baseman Alec Bohm.",0,9,3,77,"bottom",9,"2024-04-27T04:20:54.465Z","2024-04-27T04:22:37.009Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,688363,"Graham Pauley","/api/v1/people/688363","L","Left",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.9,82.4,8,2,0.419,6.5285,28.3327,-25.5111,1.4979,3.8538,0.0694,1.545,3.7689,-130.8579,-5.2031,-1.5858,50.0044,5.4772,2.5901,7.2,6,24,2432,137,NA,NA,NA,NA,NA,NA,FALSE,-27.8,6,-3.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",2,"2024-04-27T04:21:51.099Z","2024-04-27T04:21:54.482Z",TRUE,"pitch","4838f95e-b056-4836-9589-796759297afd",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.411,1.565,NA,69.13,185.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Graham Pauley lines out to third baseman Alec Bohm.",0,9,3,77,"bottom",9,"2024-04-27T04:20:54.465Z","2024-04-27T04:22:37.009Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,688363,"Graham Pauley","/api/v1/people/688363","L","Left",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.1,14,2,0.3911,6.4221,32.6059,-20.6992,-1.2861,5.7791,1.2558,1.9894,7.945,-140.2235,-5.146,-1.4509,50.0034,5.2048,-2.5555,2.4,4.8,24,2331,204,NA,NA,NA,NA,NA,NA,FALSE,-20,9.5,0.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",1,"2024-04-27T04:21:31.833Z","2024-04-27T04:21:36.499Z",TRUE,"pitch","0bc78ac4-3077-4139-996d-a45daf46f007",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.411,1.565,NA,97.48,166.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Graham Pauley lines out to third baseman Alec Bohm.",0,9,3,77,"bottom",9,"2024-04-27T04:20:54.465Z","2024-04-27T04:22:37.009Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,688363,"Graham Pauley","/api/v1/people/688363","L","Left",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.8,6,2,0.3879,6.3004,32.3998,-20.8783,-3.3022,5.5931,0.5122,2.6817,7.0761,-141.2607,-3.4141,-1.597,50.0035,5.2495,-6.6702,13.2,4.8,24,2405,209,NA,NA,NA,NA,NA,NA,FALSE,-19.4,9.6,4.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",0,"2024-04-27T04:21:17.736Z","2024-04-27T04:21:22.183Z",TRUE,"pitch","e057d367-db29-43b5-9c61-6f714452c6b9",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.411,1.565,NA,125.99,194.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Graham Pauley lines out to third baseman Alec Bohm.",0,9,3,77,"bottom",9,"2024-04-27T04:20:54.465Z","2024-04-27T04:22:37.009Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,688363,"Graham Pauley","/api/v1/people/688363","L","Left",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.7,8,2,0.3883,6.6006,33.1069,-19.0045,-2.4632,6.5385,-0.2359,1.6506,4.566,-141.2302,-6.4366,-1.5558,50.002,5.1878,-4.9607,10.8,4.8,24,2315,210,NA,NA,NA,NA,NA,NA,FALSE,-18.5,10.7,3.5,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",0,"2024-04-27T04:20:42.739Z","2024-04-27T04:20:52.146Z",TRUE,"pitch","3aa4318c-7fb7-4a23-b0cb-9625566760bd",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.39,1.6,NA,127.67,168.24,"fly_ball","medium","8",154.63,82.71,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Luis Campusano flies out to center fielder Johan Rojas.",0,9,3,76,"bottom",9,"2024-04-27T04:20:20.488Z","2024-04-27T04:20:52.146Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,669134,"Luis Campusano","/api/v1/people/669134","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,88,4,0.9,0.3891,6.5307,35.1856,-19.0246,-8.9103,6.5696,-0.2799,2.6126,6.8517,-141.3097,-4.2158,-1.5905,50.0066,5.3627,-17.8449,38.4,4.8,24,2242,208,90.1,39,300,NA,NA,NA,TRUE,-18.1,11.2,14.5,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",5,"2024-04-27T04:20:15.120Z","2024-04-27T04:20:19.367Z",TRUE,"pitch","48d8cd3b-b96b-48f5-ab73-6aa3663fde20",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,0,NA,NA,3.5316,1.6555,NA,101.56,193.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Eguy Rosario called out on strikes.",0,9,3,75,"bottom",9,"2024-04-27T04:19:08.322Z","2024-04-27T04:20:19.367Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92,84.5,9,2,0.4089,6.5476,28.7437,-22.5062,-1.7097,5.3194,0.405,1.6739,5.803,-133.907,-5.3482,-1.5674,50.0015,5.3057,-3.107,4.8,4.8,24,2385,165,NA,NA,NA,NA,NA,NA,TRUE,-23.6,8.6,1.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",4,"2024-04-27T04:19:59.144Z","2024-04-27T04:20:02.221Z",TRUE,"pitch","f945e7b0-8ccb-46aa-8760-1dbdb8a4d9d6",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,0,NA,NA,3.38,1.62,NA,126.81,205.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Eguy Rosario called out on strikes.",0,9,3,75,"bottom",9,"2024-04-27T04:19:08.322Z","2024-04-27T04:20:19.367Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,88.1,13,0.91,0.3889,6.5341,36.3645,-18.4027,-10.4607,6.8781,-0.2573,1.2313,7.7186,-141.571,-7.6415,-1.6785,50.006,5.1724,-20.9528,43.2,6,24,2195,210,NA,NA,NA,NA,NA,NA,FALSE,-18.4,10.8,17,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",3,"2024-04-27T04:19:43.221Z","2024-04-27T04:19:47.252Z",TRUE,"pitch","4c9c0ae9-c6f6-48de-bf50-040f76440838",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.4843,1.6555,NA,75.13,194.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Eguy Rosario called out on strikes.",0,9,3,75,"bottom",9,"2024-04-27T04:19:08.322Z","2024-04-27T04:20:19.367Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,88.5,14,2,0.3886,6.52,33.8962,-13.4819,-3.1447,9.3014,1.0984,1.6462,8.75,-141.266,-7.5864,-1.6384,50.0022,5.2437,-6.32,15.6,3.6,24,2240,207,NA,NA,NA,NA,NA,NA,FALSE,-13.8,15.4,3.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745424,"2024-04-27",2,"2024-04-27T04:19:26.294Z","2024-04-27T04:19:29.434Z",TRUE,"pitch","7ecb3af0-8024-48a0-9bda-bee1e7796895",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.4843,1.6555,NA,64.35,223.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Eguy Rosario called out on strikes.",0,9,3,75,"bottom",9,"2024-04-27T04:19:08.322Z","2024-04-27T04:20:19.367Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,666703,"Eguy Rosario","/api/v1/people/666703","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.3,83.2,14,2,0.4173,6.6114,27.5908,-26.1649,1.2566,3.4395,1.3812,0.5599,7.0882,-131.2317,-7.3052,-1.5171,50.0004,5.3267,2.1914,7.2,6,24,2328,161,NA,NA,NA,NA,NA,NA,FALSE,-28.8,4.8,-3.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
