"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType"
747048,"2024-05-01",2,"2024-05-02T01:04:27.966Z","2024-05-02T01:04:35.815Z",TRUE,"pitch","491bea07-d7ca-45a1-8e44-356eb647965a",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.44,1.61,NA,124.4,178.8,"ground_ball","medium","5",105.09,162.44,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Jordan Westburg grounds out, third baseman Oswaldo Cabrera to first baseman Anthony Rizzo.",0,2,0,63,"bottom",9,"2024-05-02T01:03:30.063Z","2024-05-02T01:04:35.815Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.1,78.4,5,0.87,0.4424,5.7693,25.2552,-35.76,9.269,-2.3155,-0.194,2.2214,-1.4598,-123.9244,-3.0421,-0.8004,50.0005,6.4585,14.3831,21.6,9.6,24,2813,32,89,-3,33,NA,NA,NA,TRUE,-42.5,-4.7,-16.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",1,"2024-05-02T01:04:09.952Z","2024-05-02T01:04:13.435Z",TRUE,"pitch","413ccd23-4314-41d1-866d-a28edd9af23a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.44,1.61,NA,67.88,212.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Jordan Westburg grounds out, third baseman Oswaldo Cabrera to first baseman Anthony Rizzo.",0,2,0,63,"bottom",9,"2024-05-02T01:03:30.063Z","2024-05-02T01:04:35.815Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.4,78.9,14,0.9,0.4415,5.9695,26.2204,-35.9441,10.6903,-2.4208,1.2888,0.9771,1.8406,-124.3322,-5.6577,-0.8506,50.0046,6.2844,16.6438,24,10.8,24,2790,46,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-5.5,-19.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",0,"2024-05-02T01:03:54.520Z","2024-05-02T01:03:58.588Z",TRUE,"pitch","6a121f1f-925f-4488-9e68-03b6beefdbe4",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5112,1.5925,NA,91.84,196.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Jordan Westburg grounds out, third baseman Oswaldo Cabrera to first baseman Anthony Rizzo.",0,2,0,63,"bottom",9,"2024-05-02T01:03:30.063Z","2024-05-02T01:04:35.815Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,88.9,9,0.9,0.3894,6.0746,32.044,-26.5058,-9.0507,2.8287,0.6601,1.5805,6.5081,-140.6987,-8.3385,-0.5076,50.0043,6.3015,-18.1402,30,7.2,24,2112,221,NA,NA,NA,NA,NA,NA,FALSE,-25.7,3.6,15,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",3,"2024-05-02T01:03:13.212Z","2024-05-02T01:03:22.191Z",TRUE,"pitch","c9c3904d-80b0-442f-9983-6c59433297a7",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.36,1.62,NA,166.8,169.28,"ground_ball","medium","6",114.75,159.16,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Forceout","force_out","Colton Cowser grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres. Ryan O'Hearn out at 2nd. Colton Cowser to 1st.",0,2,0,62,"bottom",9,"2024-05-02T01:02:03.429Z","2024-05-02T01:03:22.191Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,681297,"Colton Cowser","/api/v1/people/681297","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,89.4,11,0.89,0.3861,5.8753,33.3918,-31.2944,-8.1285,0.4314,-1.3066,2.5741,1.7386,-142.0051,-4.9849,-0.872,50.0029,6.3501,-16.5526,26.4,7.2,24,2195,228,70,-9,15,NA,NA,NA,TRUE,-28.8,-0.1,14.4,NA,NA,NA,NA,NA,TRUE,FALSE,681297,"Colton Cowser","/api/v1/people/681297",NA,NA,NA,NA,NA,NA
747048,"2024-05-01",1,"2024-05-02T01:02:43.022Z","2024-05-02T01:02:46.022Z",TRUE,"pitch","0143eae4-7229-4a0c-8b25-b7e5aeed9563",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,2,1,NA,NA,3.36,1.62,NA,156.68,169.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Forceout","force_out","Colton Cowser grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres. Ryan O'Hearn out at 2nd. Colton Cowser to 1st.",0,2,0,62,"bottom",9,"2024-05-02T01:02:03.429Z","2024-05-02T01:03:22.191Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,681297,"Colton Cowser","/api/v1/people/681297","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.1,89,11,0.84,0.3878,5.966,32.7255,-26.7722,-7.3816,2.6739,-1.0409,2.579,2.1678,-141.3226,-5.5787,-0.8598,50.0004,6.302,-14.9031,27.6,6,24,2263,223,NA,NA,NA,NA,NA,NA,FALSE,-25.2,3.8,13,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",0,"2024-05-02T01:02:25.743Z","2024-05-02T01:02:29.625Z",TRUE,"pitch","d4f60256-75f6-4839-9f76-ec06cb05870d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3876,1.6194,NA,110.69,195.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Forceout","force_out","Colton Cowser grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres. Ryan O'Hearn out at 2nd. Colton Cowser to 1st.",0,2,0,62,"bottom",9,"2024-05-02T01:02:03.429Z","2024-05-02T01:03:22.191Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,681297,"Colton Cowser","/api/v1/people/681297","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,88.2,8,0.86,0.3924,5.8469,32.0912,-29.4307,-7.8521,1.3956,0.1654,1.5868,4.841,-139.7068,-7.7396,-0.5714,50.0067,6.3334,-15.4927,25.2,7.2,24,2194,226,NA,NA,NA,NA,NA,NA,FALSE,-28.7,1.1,13.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",2,"2024-05-02T01:02:57.168Z","2024-05-02T01:03:13.212Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,681297,"/api/v1/people/681297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"62","atBat","Forceout","force_out","Colton Cowser grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres. Ryan O'Hearn out at 2nd. Colton Cowser to 1st.",0,2,0,62,"bottom",9,"2024-05-02T01:02:03.429Z","2024-05-02T01:03:22.191Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,681297,"Colton Cowser","/api/v1/people/681297","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",3,"2024-05-02T01:01:56.506Z","2024-05-02T01:02:01.171Z",TRUE,"pitch","fd2d4947-329b-47dc-bb8c-3abe1d005e38",4,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,3,0,NA,NA,3.66,1.81,NA,90.88,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Ryan Mountcastle strikes out on a foul tip.",0,2,0,61,"bottom",9,"2024-05-02T01:00:40.524Z","2024-05-02T01:02:01.171Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,663624,"Ryan Mountcastle","/api/v1/people/663624","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.5,87.7,9,0.82,0.3942,6.0405,30.5716,-25.0473,-7.2973,3.6443,0.6852,2.3253,5.5985,-138.8571,-6.5971,-0.4073,50.0031,6.394,-14.2758,26.4,6,24,2231,221,NA,NA,NA,NA,NA,NA,TRUE,-24.6,5.4,12.1,NA,NA,NA,NA,NA,TRUE,FALSE,656811,"Ryan O'Hearn","/api/v1/people/656811",NA,NA,NA,NA,NA,NA
747048,"2024-05-01",2,"2024-05-02T01:01:34.483Z","2024-05-02T01:01:37.615Z",TRUE,"pitch","e95f2a91-31cd-43f1-893c-a17ebfa151a9",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.66,1.81,NA,142.72,147.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Ryan Mountcastle strikes out on a foul tip.",0,2,0,61,"bottom",9,"2024-05-02T01:00:40.524Z","2024-05-02T01:02:01.171Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,663624,"Ryan Mountcastle","/api/v1/people/663624","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.8,81.8,1,0.91,0.4256,5.5201,22.8641,-37.2809,2.6294,-3.0392,-0.6748,3.3826,-0.6777,-127.9885,-0.9854,-0.7506,50.0003,6.6555,4.4241,6,9.6,24,2627,34,NA,NA,NA,NA,NA,NA,FALSE,-40.4,-5.5,-4.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747048,"2024-05-01",1,"2024-05-02T01:01:15.711Z","2024-05-02T01:01:18.711Z",TRUE,"pitch","6f9c7880-4f95-46c5-9526-aa41062e9c48",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,0,NA,NA,3.66,1.81,NA,77.64,199.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Ryan Mountcastle strikes out on a foul tip.",0,2,0,61,"bottom",9,"2024-05-02T01:00:40.524Z","2024-05-02T01:02:01.171Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,663624,"Ryan Mountcastle","/api/v1/people/663624","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.1,77.6,14,0.9,0.4484,5.9975,25.514,-36.5844,11.0835,-2.9286,1.0326,1.4648,1.1679,-122.4299,-4.1886,-0.89,50.0002,6.3488,16.721,24,10.8,24,2781,27,NA,NA,NA,NA,NA,NA,FALSE,-44.9,-6,-20.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
