"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
746063,"2024-05-22",4,"2024-05-23T00:34:07.193Z","2024-05-23T00:34:14.126Z",TRUE,"pitch","2aeeab57-1cfb-4133-b7f6-7ab7102343fb",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,2,NA,NA,3.3,1.61,NA,105,187.86,"ground_ball","medium","6",119.62,146.7,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Forceout","force_out","Christian Yelich grounds into a force out, fielded by shortstop Tim Anderson. William Contreras out at 2nd.",0,0,1,58,"top",9,"2024-05-23T00:32:39.656Z","2024-05-23T00:34:14.126Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,592885,"Christian Yelich","/api/v1/people/592885","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.3,9,0.91,0.3889,6.4684,33.8624,-10.2139,5.4565,10.9451,0.3149,1.8858,-7.048,-141.1634,-6.9041,2.1418,50.0052,5.0301,10.9507,38.4,3.6,24,2667,143,106.2,4,98,NA,NA,NA,TRUE,-10.7,18.5,-8.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",3,"2024-05-23T00:33:47.998Z","2024-05-23T00:33:54.446Z",TRUE,"pitch","a525dc0f-5fc6-4b0a-aab9-6e9a788427cc",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.2796,1.6912,NA,67.61,157.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Forceout","force_out","Christian Yelich grounds into a force out, fielded by shortstop Tim Anderson. William Contreras out at 2nd.",0,0,1,58,"top",9,"2024-05-23T00:32:39.656Z","2024-05-23T00:34:14.126Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,592885,"Christian Yelich","/api/v1/people/592885","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.3,80.3,12,0.9,0.4301,6.2335,25.6269,-32.5494,-4.622,-0.2267,1.2958,3.0135,-1.4152,-127.2503,0.957,2.4594,50.0038,5.2072,-7.5952,13.2,8.4,24,2717,258,NA,NA,NA,NA,NA,NA,FALSE,-35.6,0,8.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",2,"2024-05-23T00:33:29.488Z","2024-05-23T00:33:34.888Z",TRUE,"pitch","110dd33e-891f-4cf0-99c8-5bcb421b513d",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3406,1.6535,NA,181.79,207.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Forceout","force_out","Christian Yelich grounds into a force out, fielded by shortstop Tim Anderson. William Contreras out at 2nd.",0,0,1,58,"top",9,"2024-05-23T00:32:39.656Z","2024-05-23T00:34:14.126Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,592885,"Christian Yelich","/api/v1/people/592885","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.2,13,0.9,0.4287,6.7158,26.1287,-34.1369,-3.6874,-1.192,-1.6997,1.1464,-8.4401,-127.7327,-3.0968,2.1252,50.0005,5.0566,-6.0935,12,8.4,24,2701,282,NA,NA,NA,NA,NA,NA,FALSE,-38.2,-2.6,8.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",1,"2024-05-23T00:33:10.704Z","2024-05-23T00:33:14.600Z",TRUE,"pitch","1d0ba583-cc7f-4fc7-9692-ee6707fa45d6",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3583,1.6387,NA,119.24,190.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Forceout","force_out","Christian Yelich grounds into a force out, fielded by shortstop Tim Anderson. William Contreras out at 2nd.",0,0,1,58,"top",9,"2024-05-23T00:32:39.656Z","2024-05-23T00:34:14.126Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,592885,"Christian Yelich","/api/v1/people/592885","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.6,8,0.9,0.4299,6.4373,25.5604,-30.6227,-2.6234,0.9439,-0.0587,1.8038,-5.3417,-127.2803,-2.1613,2.4061,50.0026,5.0833,-4.314,9.6,7.2,24,2648,245,NA,NA,NA,NA,NA,NA,FALSE,-34.2,1.4,5.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",0,"2024-05-23T00:32:54.874Z","2024-05-23T00:33:04.961Z",TRUE,"pitch","c1444885-1b76-4907-a690-d9e44110e5d6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.323,1.7593,NA,108.04,154.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Forceout","force_out","Christian Yelich grounds into a force out, fielded by shortstop Tim Anderson. William Contreras out at 2nd.",0,0,1,58,"top",9,"2024-05-23T00:32:39.656Z","2024-05-23T00:34:14.126Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,592885,"Christian Yelich","/api/v1/people/592885","L","Left",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.1,2,0.91,0.389,6.35,33.9325,-11.1585,4.1911,10.4819,0.235,3.1189,-6.6731,-141.1382,-3.8802,2.0921,50.0053,5.2373,8.4055,30,2.4,24,2624,142,NA,NA,NA,NA,NA,NA,FALSE,-10.9,18.2,-6.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",2,"2024-05-23T00:32:13.430Z","2024-05-23T00:32:21.943Z",TRUE,"pitch","39c7237f-3239-48ee-be56-b15f0b8e02d4",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,2,NA,NA,3.41,1.6,NA,111.4,184.56,"ground_ball","medium","4",147.47,157,NA,NA,NA,NA,NA,NA,NA,NA,"57","atBat","Single","single","William Contreras singles on a ground ball to second baseman Otto Lopez.",0,0,1,57,"top",9,"2024-05-23T00:31:14.059Z","2024-05-23T00:32:21.943Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,661388,"William Contreras","/api/v1/people/661388","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.9,8,0.9,0.391,6.3773,32.9025,-12.6201,3.7003,9.8465,0.1469,2.0083,-7.0065,-140.2964,-6.0553,2.2003,50.0022,5.0235,7.3487,22.8,3.6,24,2544,143,88.8,-51,2,NA,NA,NA,FALSE,-12.8,16.7,-5.2,NA,NA,NA,NA,NA,NA,FALSE,TRUE,661388,"William Contreras","/api/v1/people/661388",NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",1,"2024-05-23T00:31:52.995Z","2024-05-23T00:31:58.822Z",TRUE,"pitch","36f9487e-4ccc-44ca-9575-78624b1b2eb3",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4983,1.6815,NA,164.7,198.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","atBat","Single","single","William Contreras singles on a ground ball to second baseman Otto Lopez.",0,0,1,57,"top",9,"2024-05-23T00:31:14.059Z","2024-05-23T00:32:21.943Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,661388,"William Contreras","/api/v1/people/661388","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.8,80,13,0.9,0.4337,6.5429,25.5975,-32.323,-2.0277,-0.0902,-1.2514,1.4995,-7.916,-126.2584,-2.3928,2.1875,50.0039,5.0595,-3.2752,8.4,8.4,24,2652,284,NA,NA,NA,NA,NA,NA,FALSE,-36.8,-0.5,5.5,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",0,"2024-05-23T00:31:36.057Z","2024-05-23T00:31:39.329Z",TRUE,"pitch","c56a79f6-bd84-4aab-8dc4-116feca396c0",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.41,1.6,NA,107.44,187.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","atBat","Single","single","William Contreras singles on a ground ball to second baseman Otto Lopez.",0,0,1,57,"top",9,"2024-05-23T00:31:14.059Z","2024-05-23T00:32:21.943Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,661388,"William Contreras","/api/v1/people/661388","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.2,80.7,8,0.9,0.4277,6.3904,28.1227,-35.8104,-4.3297,-2.1908,0.2508,1.8842,-3.855,-128.3623,-1.1637,2.3381,50.0048,5.1474,-7.1798,12,9.6,24,2656,264,NA,NA,NA,NA,NA,NA,FALSE,-39.4,-4,8.8,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",3,"2024-05-23T00:30:59.935Z","2024-05-23T00:31:08.259Z",TRUE,"pitch","7c332b9b-74a5-49c0-ba51-1fa2eb932ef5",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.34,1.56,NA,118.78,144.75,"fly_ball","medium","8",149.08,50.03,NA,NA,NA,NA,NA,NA,NA,NA,"56","atBat","Flyout","field_out","Andruw Monasterio flies out to center fielder Jazz Chisholm Jr.",0,0,1,56,"top",9,"2024-05-23T00:29:53.718Z","2024-05-23T00:31:08.259Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,655316,"Andruw Monasterio","/api/v1/people/655316","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.5,11,0.91,0.3879,6.5294,32.989,-12.512,4.266,9.7473,-0.0467,3.4825,-7.4644,-141.3286,-2.8402,2.0776,50.0069,5.307,8.6096,27.6,2.4,24,2441,141,98,24,374,NA,NA,NA,TRUE,-11.9,17.2,-6.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746063,"2024-05-22",2,"2024-05-23T00:30:41.504Z","2024-05-23T00:30:45.198Z",TRUE,"pitch","82e5b367-4b85-4d76-be32-944ad220b438",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.2727,1.6223,NA,153.12,187.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","atBat","Flyout","field_out","Andruw Monasterio flies out to center fielder Jazz Chisholm Jr.",0,0,1,56,"top",9,"2024-05-23T00:29:53.718Z","2024-05-23T00:31:08.259Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,655316,"Andruw Monasterio","/api/v1/people/655316","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.2,13,0.91,0.3896,6.4043,33.5346,-11.5405,4.0387,10.3249,-0.9477,1.9002,-10.0192,-140.8514,-6.5951,2.1392,50.0067,5.0268,8.0746,24,2.4,24,2554,142,NA,NA,NA,NA,NA,NA,FALSE,-11.9,17.4,-5.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
