"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717787,"2023-06-13",5,"2023-06-14T02:16:26.587Z","2023-06-14T02:16:31.209Z",TRUE,"pitch","582dbed6-a4aa-4215-9f40-6efe989e854d",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.2193,1.5358,NA,152.56,178.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Strikeout","strikeout","Danny Jansen called out on strikes.",0,6,11,87,"top",9,"2023-06-14T02:14:19.912Z","2023-06-14T02:16:31.209Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,643376,"Danny Jansen","/api/v1/people/643376","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,88,13,0.9,0.3922,6.516,30.0166,-12.2129,-4.1193,10.095,-0.9329,2.2465,3.4318,-139.4039,-7.9178,-1.642,50.0025,5.9215,-8.144,27.6,3.6,24,2209,207,NA,NA,NA,NA,NA,NA,TRUE,-12.7,16.9,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717787,"2023-06-13",4,"2023-06-14T02:16:06.158Z","2023-06-14T02:16:10.286Z",TRUE,"pitch","5c037c68-e1d9-496c-ab03-5d8414733ca1",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.2426,1.5358,NA,99.55,198.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Strikeout","strikeout","Danny Jansen called out on strikes.",0,6,11,87,"top",9,"2023-06-14T02:14:19.912Z","2023-06-14T02:16:31.209Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,643376,"Danny Jansen","/api/v1/people/643376","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.8,83.7,9,0.89,0.4173,6.7164,24.6453,-37.0389,-1.011,-2.7761,0.4578,1.4832,6.3053,-130.6887,-4.4848,-1.8434,50.0055,5.9697,-1.7684,1.2,8.4,24,2428,29,NA,NA,NA,NA,NA,NA,FALSE,-39.4,-5.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717787,"2023-06-13",3,"2023-06-14T02:15:44.909Z","2023-06-14T02:15:47.913Z",TRUE,"pitch","a4cb79c8-02e1-42cb-a4a2-5288950c463f",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.196,1.5827,NA,84.83,183.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Strikeout","strikeout","Danny Jansen called out on strikes.",0,6,11,87,"top",9,"2023-06-14T02:14:19.912Z","2023-06-14T02:16:31.209Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,643376,"Danny Jansen","/api/v1/people/643376","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,88.6,14,0.89,0.3909,6.6301,29.3195,-13.624,-5.282,9.3124,0.8441,2.0636,8.3174,-139.7409,-8.0585,-1.4747,50.0048,5.8655,-10.5247,30,3.6,24,2110,212,NA,NA,NA,NA,NA,NA,FALSE,-14,15.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717787,"2023-06-13",2,"2023-06-14T02:15:20.216Z","2023-06-14T02:15:26.187Z",TRUE,"pitch","19f12de6-5d4d-42d8-9a94-e3fe603c5a89",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.22,1.52,NA,126.03,164.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Strikeout","strikeout","Danny Jansen called out on strikes.",0,6,11,87,"top",9,"2023-06-14T02:14:19.912Z","2023-06-14T02:16:31.209Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,643376,"Danny Jansen","/api/v1/people/643376","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87,2,0.89,0.3956,6.5778,31.6016,-14.9035,-6.6468,8.9031,-0.237,2.7646,6.0229,-138.5554,-6.1509,-1.5777,50.0044,6.0133,-12.8961,34.8,3.6,24,2116,217,NA,NA,NA,NA,NA,NA,FALSE,-15.2,15,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717787,"2023-06-13",1,"2023-06-14T02:14:55.308Z","2023-06-14T02:14:58.547Z",TRUE,"pitch","0d66c960-ec75-4d6f-984f-bb73a05caca8",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.22,1.52,NA,120.57,149.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Strikeout","strikeout","Danny Jansen called out on strikes.",0,6,11,87,"top",9,"2023-06-14T02:14:19.912Z","2023-06-14T02:16:31.209Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,643376,"Danny Jansen","/api/v1/people/643376","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92.3,85.2,2,0.9,0.4063,6.628,27.0374,-25.2376,-0.1484,3.7595,-0.0937,3.3227,5.118,-134.4263,-2.2319,-1.9968,50.0018,5.9413,-0.2748,1.2,6,24,2278,192,NA,NA,NA,NA,NA,NA,FALSE,-25.3,6.6,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717787,"2023-06-13",0,"2023-06-14T02:14:29.266Z","2023-06-14T02:14:36.317Z",TRUE,"pitch","25198661-df63-4774-a814-62a2a40e54cf",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.22,1.52,NA,136.81,160.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Strikeout","strikeout","Danny Jansen called out on strikes.",0,6,11,87,"top",9,"2023-06-14T02:14:19.912Z","2023-06-14T02:16:31.209Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,643376,"Danny Jansen","/api/v1/people/643376","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.7,1,0.9,0.3966,6.6638,31.3556,-12.9917,-5.8406,9.9358,-0.5197,2.9077,5.2161,-138.2027,-5.9501,-1.6745,50.0024,5.9643,-11.2762,34.8,3.6,24,2031,215,NA,NA,NA,NA,NA,NA,FALSE,-13.4,16.9,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717787,"2023-06-13",6,"2023-06-14T02:13:45.738Z","2023-06-14T02:13:53.993Z",TRUE,"pitch","26d3d5b5-6938-4939-9547-089344094636",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",3,1,2,NA,NA,3.02,1.42,NA,126.73,192.72,"ground_ball","soft","1",117.62,190.14,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Alejandro Kirk singles on a soft ground ball to pitcher Mike Baumann. Cavan Biggio scores. Santiago Espinal to 3rd. Daulton Varsho to 2nd.",1,6,11,86,"top",9,"2023-06-14T02:12:34.979Z","2023-06-14T02:13:53.993Z",TRUE,TRUE,FALSE,FALSE,33,3,1,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.3,8,0.89,0.3951,6.6704,31.303,-13.8516,-6.9957,9.4133,-0.2553,1.706,6.7687,-138.6865,-8.642,-1.8198,50.0014,5.7884,-13.6134,37.2,3.6,24,2179,214,70.6,-63,2,NA,NA,NA,FALSE,-14.8,15.4,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,662139,"Daulton Varsho","/api/v1/people/662139",672386,"Alejandro Kirk","/api/v1/people/672386",669289,"Santiago Espinal","/api/v1/people/669289"
717787,"2023-06-13",5,"2023-06-14T02:13:25.816Z","2023-06-14T02:13:28.848Z",TRUE,"pitch","225a14fb-87c8-4a80-b206-3ceb972c3934",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,2,NA,NA,3.196,1.4655,NA,107.73,176.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Alejandro Kirk singles on a soft ground ball to pitcher Mike Baumann. Cavan Biggio scores. Santiago Espinal to 3rd. Daulton Varsho to 2nd.",1,6,11,86,"top",9,"2023-06-14T02:12:34.979Z","2023-06-14T02:13:53.993Z",TRUE,TRUE,FALSE,FALSE,33,3,1,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87,5,0.89,0.3957,6.7024,31.5269,-13.036,-5.6242,9.8717,0.2432,2.3105,7.5027,-138.5111,-7.2213,-1.7725,50.0053,5.8269,-10.9074,32.4,3.6,24,2244,215,NA,NA,NA,NA,NA,NA,FALSE,-13.8,16.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,662139,"Daulton Varsho","/api/v1/people/662139",NA,NA,NA,NA,NA,NA
717787,"2023-06-13",4,"2023-06-14T02:13:07.676Z","2023-06-14T02:13:10.676Z",TRUE,"pitch","490342fa-dcfb-4bc8-97e8-dc229b4ab873",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.1727,1.4186,NA,92.61,207.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Alejandro Kirk singles on a soft ground ball to pitcher Mike Baumann. Cavan Biggio scores. Santiago Espinal to 3rd. Daulton Varsho to 2nd.",1,6,11,86,"top",9,"2023-06-14T02:12:34.979Z","2023-06-14T02:13:53.993Z",TRUE,TRUE,FALSE,FALSE,33,3,1,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,87.8,14,0.9,0.393,6.8233,32.6046,-12.6929,-5.3943,9.9086,0.64,1.1566,8.4601,-139.6002,-10.3621,-1.7345,50.0013,5.7612,-10.6042,30,3.6,24,2129,210,NA,NA,NA,NA,NA,NA,FALSE,-14,15.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,662139,"Daulton Varsho","/api/v1/people/662139",NA,NA,NA,NA,NA,NA
717787,"2023-06-13",3,"2023-06-14T02:12:51.028Z","2023-06-14T02:12:54.406Z",TRUE,"pitch","7aade821-5cf7-478f-b225-1e4226db7aad",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.1727,1.3952,NA,166.32,157.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Alejandro Kirk singles on a soft ground ball to pitcher Mike Baumann. Cavan Biggio scores. Santiago Espinal to 3rd. Daulton Varsho to 2nd.",1,6,11,86,"top",9,"2023-06-14T02:12:34.979Z","2023-06-14T02:13:53.993Z",TRUE,TRUE,FALSE,FALSE,33,3,1,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.3,11,0.9,0.3936,6.7569,32.1523,-14.289,-6.8918,9.1278,-1.294,3.0198,4.0104,-139.3105,-5.4085,-1.859,50.0043,5.9356,-13.5077,39.6,3.6,24,2127,215,NA,NA,NA,NA,NA,NA,FALSE,-14.4,15.6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,662139,"Daulton Varsho","/api/v1/people/662139",NA,NA,NA,NA,NA,NA
