"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","isSubstitution","details.isOut","replacedPlayer.id","replacedPlayer.link","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716655,"2023-09-09",6,"2023-09-10T01:48:47.258Z","2023-09-10T01:48:53.190Z",TRUE,"pitch","ee684654-b4b8-4f2c-8f9d-a8e481c1861e",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.51,1.72,NA,146.51,143.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",102.1,92.5,1,0.9,0.3697,6.4874,38.4174,-5.8467,-3.0967,11.8664,-0.7742,3.5119,0.1298,-148.6358,-5.5999,-0.4168,50.0029,5.769,-6.8706,43.2,2.4,24,2753,204,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,-5.9,20.4,5.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",5,"2023-09-10T01:48:27.170Z","2023-09-10T01:48:32.109Z",TRUE,"pitch","97b9a478-7bf6-4201-bdba-fb7adfc00c81",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.6928,1.7733,NA,77.14,183.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.9,83.8,14,0.9,0.4133,6.6822,27.3627,-26.7329,2.178,3.0553,1.0458,2.0518,3.0568,-132.3666,-4.8539,-0.4055,50.0035,5.8588,3.8768,9.6,6,24,2477,173,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-28.2,4.7,-4.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",4,"2023-09-10T01:47:57.656Z","2023-09-10T01:48:01.610Z",TRUE,"pitch","d7cd7c89-879f-45ad-86db-565e73d92f09",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.51,1.72,NA,135.83,155.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.1,91.4,1,0.9,0.3761,6.56,34.3588,-9.1619,-4.7435,10.7115,-0.4941,3.0914,1.8669,-145.6797,-6.0459,-0.5271,50.0058,5.7482,-10.1927,43.2,2.4,24,2641,203,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-8.9,18.4,8.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",3,"2023-09-10T01:47:39.490Z","2023-09-10T01:47:43.752Z",TRUE,"pitch","0bbc0a83-c996-4ff1-bf2d-309dc158727e",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.51,1.72,NA,141.65,148.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.9,91.3,1,0.9,0.3744,6.579,38.048,-6.725,-3.8396,11.7668,-0.6467,3.3406,1.2651,-146.8676,-5.8862,-0.5869,50.0005,5.7826,-8.3022,44.4,2.4,24,2672,204,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-6.8,20.2,6.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",2,"2023-09-10T01:47:17.938Z","2023-09-10T01:47:21.969Z",TRUE,"pitch","a13e13f8-422b-458a-85ed-ba19070d88cc",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.51,1.72,NA,101.62,164.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.2,82.4,6,0.9,0.4177,6.5948,29.1422,-25.7729,3.0728,3.678,0.4036,2.7511,1.1384,-131.3793,-3.1589,-0.4351,50.001,5.8951,5.3433,12,6,24,2539,164,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-27.5,6.1,-5.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",1,"2023-09-10T01:46:59.628Z","2023-09-10T01:47:05.472Z",TRUE,"pitch","e077bd38-d316-4792-b248-976177bfb4a0",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.6668,1.8526,NA,170.73,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.4,90.3,13,0.9,0.3799,6.5693,35.8533,-7.357,-3.6656,11.8107,-1.4095,2.2512,-1.1464,-144.5442,-8.7113,-0.5308,50.0058,5.7673,-7.7043,39.6,2.4,24,2585,206,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-8.2,19.7,6.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",0,"2023-09-10T01:46:42.358Z","2023-09-10T01:46:46.851Z",TRUE,"pitch","401cb501-4579-4770-a571-bc8a38bc22c7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6668,1.7997,NA,140.3,130.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,4,3,74,"bottom",9,"2023-09-10T01:46:40.767Z","2023-09-10T01:48:53.190Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100,91.4,11,0.9,0.376,6.4987,34.0721,-12.0046,-3.8144,9.385,-0.6112,4.0176,1.4559,-145.6507,-3.3486,-0.6218,50.0063,5.9077,-8.2004,31.2,2.4,24,2543,201,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-10.8,16.6,6.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",5,"2023-09-10T01:41:56.954Z","2023-09-10T01:42:07.037Z",TRUE,"pitch","8da7aa15-7976-44cb-ab11-7dc5a64a1bf7",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.25,1.55,NA,79.28,177.15,"ground_ball","medium","6",103.32,154.35,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Double Play","double_play","Cardinals challenged (slide interference), call on the field was overturned: Tyler Stephenson grounds into a double play, shortstop Masyn Winn to second baseman Tommy Edman to first baseman Paul Goldschmidt. Christian Encarnacion-Strand out at 2nd. Tyler Stephenson out at 1st.",0,4,3,73,"bottom",9,"2023-09-10T01:40:07.923Z","2023-09-10T01:42:07.037Z",TRUE,FALSE,TRUE,TRUE,25,2,2,2,663886,"Tyler Stephenson","/api/v1/people/663886","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,82.1,14,0.9,0.4224,6.6655,25.894,-29.5924,2.9674,1.5156,0.9896,2.2825,2.2911,-129.454,-3.732,-0.2911,50.0039,5.9971,5.0589,10.8,7.2,24,2446,151,62.8,-19,8,NA,NA,NA,NA,TRUE,NA,NA,-32.3,2.2,-5.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ME",138
716655,"2023-09-09",3,"2023-09-10T01:41:21.751Z","2023-09-10T01:41:26.951Z",TRUE,"pitch","041b3d02-3c14-4051-a9fc-853f7a98bb55",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,0,NA,NA,3.25,1.55,NA,97.33,200.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Double Play","double_play","Cardinals challenged (slide interference), call on the field was overturned: Tyler Stephenson grounds into a double play, shortstop Masyn Winn to second baseman Tommy Edman to first baseman Paul Goldschmidt. Christian Encarnacion-Strand out at 2nd. Tyler Stephenson out at 1st.",0,4,3,73,"bottom",9,"2023-09-10T01:40:07.923Z","2023-09-10T01:42:07.037Z",TRUE,FALSE,TRUE,TRUE,25,2,2,2,663886,"Tyler Stephenson","/api/v1/people/663886","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,82.4,9,0.9,0.4219,6.6036,25.1299,-25.0965,3.2179,4.1434,0.5161,1.4345,1.4134,-129.4454,-6.5471,-0.454,50.0054,5.8981,5.5027,12,6,24,2443,172,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-28,6.4,-6.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716655,"2023-09-09",2,"2023-09-10T01:41:01.771Z","2023-09-10T01:41:05.946Z",TRUE,"pitch","bac6f738-56b0-4f03-aba4-b69f87f42fa8",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.0936,1.3913,NA,80.15,179.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Double Play","double_play","Cardinals challenged (slide interference), call on the field was overturned: Tyler Stephenson grounds into a double play, shortstop Masyn Winn to second baseman Tommy Edman to first baseman Paul Goldschmidt. Christian Encarnacion-Strand out at 2nd. Tyler Stephenson out at 1st.",0,4,3,73,"bottom",9,"2023-09-10T01:40:07.923Z","2023-09-10T01:42:07.037Z",TRUE,FALSE,TRUE,TRUE,25,2,2,2,663886,"Tyler Stephenson","/api/v1/people/663886","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,80.9,14,0.91,0.4289,6.7048,25.3053,-29.708,3.2164,1.4903,0.9668,2.2025,2.4482,-127.5309,-3.6005,-0.4222,50.0017,5.9663,5.3171,10.8,7.2,24,2460,169,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-33.4,2.2,-6.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
