"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
746317,"2024-04-24",3,"2024-04-25T02:18:37.697Z","2024-04-25T02:18:41.547Z",TRUE,"pitch","21791f7e-9547-42bc-b5b9-15ce4720dda7",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.4447,1.6291,NA,136.93,158.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Cavan Biggio called out on strikes.",0,2,3,71,"top",9,"2024-04-25T02:17:38.758Z","2024-04-25T02:18:41.547Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83,75.9,1,0.9,0.455,6.62,25.8786,-41.5221,8.6272,-6.3842,-0.5228,2.9655,2.0318,-120.8577,1.8534,-2.4971,50.0038,5.8643,12.6281,18,12,24,2936,49,NA,NA,NA,NA,NA,NA,TRUE,-50.8,-10.8,-16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",2,"2024-04-25T02:18:17.938Z","2024-04-25T02:18:21.428Z",TRUE,"pitch","06b93ef1-a7d1-48ad-b805-b5c637832dd2",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.44,1.64,NA,84.52,193.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Cavan Biggio called out on strikes.",0,2,3,71,"top",9,"2024-04-25T02:17:38.758Z","2024-04-25T02:18:41.547Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.7,77.2,14,0.88,0.4506,6.6578,25.2444,-40.1355,7.9301,-5.3306,0.8521,1.6662,5.1409,-121.8374,-1.3029,-2.3195,50.0016,5.6948,11.8493,18,12,24,2896,44,NA,NA,NA,NA,NA,NA,FALSE,-48.8,-9.7,-15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",1,"2024-04-25T02:17:59.307Z","2024-04-25T02:18:04.013Z",TRUE,"pitch","598c8ecd-acc2-40fe-9ade-7dae5ea3ba2d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4741,1.5998,NA,107.13,200.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Cavan Biggio called out on strikes.",0,2,3,71,"top",9,"2024-04-25T02:17:38.758Z","2024-04-25T02:18:41.547Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.5,76.9,14,0.89,0.4518,6.6579,25.581,-41.0888,8.3462,-5.9986,0.2589,1.4131,3.9605,-121.6035,-1.5302,-2.4792,50.0036,5.6405,12.4016,18,12,24,2857,45,NA,NA,NA,NA,NA,NA,FALSE,-50.4,-10.9,-16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",0,"2024-04-25T02:17:41.406Z","2024-04-25T02:17:48.229Z",TRUE,"pitch","fa00601d-0604-49ba-8c34-986de99ff55f",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.44,1.64,NA,84.56,201.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Cavan Biggio called out on strikes.",0,2,3,71,"top",9,"2024-04-25T02:17:38.758Z","2024-04-25T02:18:41.547Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,624415,"Cavan Biggio","/api/v1/people/624415","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,81.1,14,2,0.4318,6.8885,20.8085,-30.711,0.1186,0.8984,0.8512,1.3634,8.3038,-125.8844,-4.0297,-2.4787,50.0056,5.4176,0.1943,2.4,7.2,24,2260,59,NA,NA,NA,NA,NA,NA,FALSE,-34.9,1.1,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",5,"2024-04-25T02:17:02.847Z","2024-04-25T02:17:11.542Z",TRUE,"pitch","1e6c40cf-3e41-4e9b-b3c1-23b1dc9f9c5a",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.371,1.535,NA,129.24,185.96,"ground_ball","medium","4",142.07,156.38,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Addison Barger grounds out, second baseman Garrett Hampson to first baseman Vinnie Pasquantino. Isiah Kiner-Falefa to 2nd.",0,2,3,70,"top",9,"2024-04-25T02:16:00.884Z","2024-04-25T02:17:11.542Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,680718,"Addison Barger","/api/v1/people/680718","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.7,76.9,7,0.88,0.4507,6.6924,25.7615,-43.4465,6.4265,-7.5562,-0.3211,1.9561,2.9252,-121.8927,-0.1753,-2.3744,50,5.8056,9.5909,13.2,12,24,2808,43,80.9,-34,3,NA,NA,NA,TRUE,-52.7,-13.4,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,643396,"Isiah Kiner-Falefa","/api/v1/people/643396"
746317,"2024-04-24",3,"2024-04-25T02:16:19.712Z","2024-04-25T02:16:23.573Z",TRUE,"pitch","2f12d0c9-627e-48a4-b6b4-d3a7dd7f33b5",2,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,2,1,NA,NA,3.371,1.535,NA,139.65,221.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Addison Barger grounds out, second baseman Garrett Hampson to first baseman Vinnie Pasquantino. Isiah Kiner-Falefa to 2nd.",0,2,3,70,"top",9,"2024-04-25T02:16:00.884Z","2024-04-25T02:17:11.542Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,680718,"Addison Barger","/api/v1/people/680718","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.2,76.4,13,0.89,0.4548,6.6178,26.9155,-44.2613,6.503,-8.2636,-0.5942,0.6415,2.4273,-121.1215,-2.7678,-2.4582,50.0007,5.7249,9.5167,12,13.2,24,2839,46,NA,NA,NA,NA,NA,NA,FALSE,-55.3,-15.4,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",2,"2024-04-25T02:16:03.034Z","2024-04-25T02:16:07.288Z",TRUE,"pitch","2b984729-bd1c-4f37-8b70-3871ed79fe7c",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.6213,1.6291,NA,132.99,165.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Addison Barger grounds out, second baseman Garrett Hampson to first baseman Vinnie Pasquantino. Isiah Kiner-Falefa to 2nd.",0,2,3,70,"top",9,"2024-04-25T02:16:00.884Z","2024-04-25T02:17:11.542Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,680718,"Addison Barger","/api/v1/people/680718","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,81.2,4,2,0.4291,6.8878,21.2134,-30.374,0.4979,1.0851,-0.4196,2.7323,5.1564,-126.7236,-1.0352,-2.5293,50.0033,5.5311,0.8239,3.6,7.2,24,2312,101,NA,NA,NA,NA,NA,NA,FALSE,-33.6,1.9,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",0,"2024-04-25T02:15:23.903Z","2024-04-25T02:15:30.518Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Isiah Kiner-Falefa replaces Justin Turner.","Offensive Substitution",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,643396,"/api/v1/people/643396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","702","70","atBat","Groundout","field_out","Addison Barger grounds out, second baseman Garrett Hampson to first baseman Vinnie Pasquantino. Isiah Kiner-Falefa to 2nd.",0,2,3,70,"top",9,"2024-04-25T02:16:00.884Z","2024-04-25T02:17:11.542Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,680718,"Addison Barger","/api/v1/people/680718","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,1,457759,"/api/v1/people/457759",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",1,"2024-04-25T02:15:30.518Z","2024-04-25T02:16:03.034Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Addison Barger grounds out, second baseman Garrett Hampson to first baseman Vinnie Pasquantino. Isiah Kiner-Falefa to 2nd.",0,2,3,70,"top",9,"2024-04-25T02:16:00.884Z","2024-04-25T02:17:11.542Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,680718,"Addison Barger","/api/v1/people/680718","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",4,"2024-04-25T02:16:43.220Z","2024-04-25T02:16:46.593Z",FALSE,"pickoff","bbf88c08-3a94-41d6-8bce-474a007caf53",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,0,2,1,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Addison Barger grounds out, second baseman Garrett Hampson to first baseman Vinnie Pasquantino. Isiah Kiner-Falefa to 2nd.",0,2,3,70,"top",9,"2024-04-25T02:16:00.884Z","2024-04-25T02:17:11.542Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,680718,"Addison Barger","/api/v1/people/680718","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746317,"2024-04-24",4,"2024-04-25T02:14:56.245Z","2024-04-25T02:15:06.133Z",TRUE,"pitch","7ca84bbc-0606-4524-814a-a7eed5494a3a",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.53,1.64,NA,96.52,211.16,"line_drive","medium","7",85.49,91.24,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Justin Turner singles on a line drive to left fielder MJ Melendez.",0,2,3,69,"top",9,"2024-04-25T02:14:04.559Z","2024-04-25T02:15:06.133Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,457759,"Justin Turner","/api/v1/people/457759","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.9,76.1,14,0.89,0.4567,6.7603,26.2663,-43.665,6.3552,-7.9144,0.5372,1.0231,4.5706,-120.5445,-1.9924,-2.2176,50.002,5.7619,9.2291,13.2,13.2,24,2791,44,84.5,16,234,NA,NA,NA,FALSE,-54.7,-14.5,-12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,457759,"Justin Turner","/api/v1/people/457759",NA,NA,NA,NA,NA,NA
746317,"2024-04-24",3,"2024-04-25T02:14:38.797Z","2024-04-25T02:14:42.172Z",TRUE,"pitch","564f187a-ccee-4218-ba50-52b9084395dd",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.53,1.64,NA,72.32,200.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Justin Turner singles on a line drive to left fielder MJ Melendez.",0,2,3,69,"top",9,"2024-04-25T02:14:04.559Z","2024-04-25T02:15:06.133Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,457759,"Justin Turner","/api/v1/people/457759","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,82,14,2,0.4252,6.8115,24.2239,-30.2082,0.2769,1.1651,1.1722,1.428,8.7125,-128.3576,-4.3516,-2.2886,50.0017,5.4724,0.4649,3.6,7.2,24,2307,171,NA,NA,NA,NA,NA,NA,FALSE,-33.5,1.4,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
