"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718107,"2023-05-20",6,"2023-05-20T04:05:11.118Z","2023-05-20T04:05:14.536Z",TRUE,"pitch","962ed1c5-34d8-4513-a210-cd601eddae12",6,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",3,3,2,NA,NA,3.19,1.55,NA,75.6,194.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.9,82.8,14,2,0.4187,6.7344,27.6932,-30.4403,2.0252,1.0033,1.086,1.6367,5.5279,-130.8447,-4.9338,-1.3176,50.0053,5.8286,3.5106,8.4,7.2,24,2032,112,NA,NA,NA,NA,NA,NA,TRUE,-32.9,1,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",4,"2023-05-20T04:04:41.437Z","2023-05-20T04:04:45.281Z",TRUE,"pitch","7bdc323b-5e4e-4fe1-93ca-7a3064eb01b7",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.19,1.55,NA,110.67,166.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.5,88.9,5,2,0.389,6.6264,29.5134,-24.0918,-9.6712,4.0221,0.1661,2.6756,7.8773,-140.3872,-4.1251,-1.409,50.0067,5.7177,-19.4559,36,6,24,1886,212,NA,NA,NA,NA,NA,NA,FALSE,-22.6,6.7,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",3,"2023-05-20T04:04:24.630Z","2023-05-20T04:04:28.290Z",TRUE,"pitch","cafac77e-e088-4d57-a9eb-7687804a7bb9",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,2,NA,NA,3.1172,1.5016,NA,124.36,163.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87.9,2,2,0.3928,6.8285,30.2712,-24.4517,-8.2776,3.9207,-0.1931,2.8041,6.6324,-139.2696,-3.8359,-1.5258,50.0059,5.81,-16.3194,30,6,24,1880,210,NA,NA,NA,NA,NA,NA,FALSE,-23.3,6.5,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",2,"2023-05-20T04:04:05.651Z","2023-05-20T04:04:09.298Z",TRUE,"pitch","699560a6-f2b9-461e-be14-4bd45978d2ff",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.1413,1.5016,NA,153,171.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",92,85,11,2,0.4076,6.4538,27.0271,-29.6208,-9.2891,1.3895,-0.9444,2.4935,5.0969,-134.024,-3.0929,-1.6568,50.0005,5.762,-17.017,27.6,7.2,24,1358,240,NA,NA,NA,NA,NA,NA,FALSE,-30,2.2,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",1,"2023-05-20T04:03:48.341Z","2023-05-20T04:03:52.070Z",TRUE,"pitch","6d304004-7f2b-4be7-a63a-4922ce31c112",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.1655,1.5016,NA,123.31,142.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89,82.3,11,2,0.4208,6.5008,25.1241,-33.8971,2.0354,-1.0058,-0.1655,3.5832,2.8903,-129.7598,0.282,-1.5548,50.0012,6.0391,3.4969,7.2,8.4,24,2112,103,NA,NA,NA,NA,NA,NA,FALSE,-35.8,-1.6,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",0,"2023-05-20T04:03:33.335Z","2023-05-20T04:03:37.544Z",TRUE,"pitch","8234941e-344d-4582-96f0-916a59a09a55",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1172,1.4774,NA,134.75,202.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,89.3,13,2,0.3881,6.8908,29.3208,-18.4125,-8.3052,6.8129,-0.4656,1.3417,5.5898,-140.6501,-8.7362,-1.3908,50.0067,5.6625,-16.7874,38.4,4.8,24,1959,208,NA,NA,NA,NA,NA,NA,FALSE,-18.2,10.9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",5,"2023-05-20T04:05:00.806Z","2023-05-20T04:05:11.118Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,2,2,630105,"/api/v1/people/630105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Jake Cronenworth strikes out on a foul tip.",0,6,1,70,"bottom",9,"2023-05-20T04:03:25.141Z","2023-05-20T04:05:14.536Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,630105,"Jake Cronenworth","/api/v1/people/630105","L","Left",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",4,"2023-05-20T04:03:03.901Z","2023-05-20T04:03:08.868Z",TRUE,"pitch","27f29bed-245f-4743-aecd-2b54c410bafc",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.48,1.63,NA,97.41,167.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,6,1,69,"bottom",9,"2023-05-20T04:02:01.542Z","2023-05-20T04:03:08.868Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.6,81.9,6,2,0.4235,6.6773,25.648,-32.2576,0.7047,-0.05,0.5138,2.6565,4.9628,-129.0987,-2.1092,-1.5211,50.0028,5.9553,1.1943,3.6,8.4,24,2095,88,NA,NA,NA,NA,NA,NA,TRUE,-34.9,-0.4,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",3,"2023-05-20T04:02:47.925Z","2023-05-20T04:02:52.011Z",TRUE,"pitch","5f2ca154-2158-4745-a378-e51ccd449a98",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,1,NA,NA,3.48,1.63,NA,101.22,183.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,6,1,69,"bottom",9,"2023-05-20T04:02:01.542Z","2023-05-20T04:03:08.868Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,87.1,9,2,0.3972,6.9048,29.2986,-23.0461,-9.1732,4.7359,0.4141,2.0647,7.8115,-137.663,-5.53,-1.2623,50.0053,5.6503,-17.687,33.6,6,24,1946,210,NA,NA,NA,NA,NA,NA,FALSE,-22.8,7.7,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718107,"2023-05-20",2,"2023-05-20T04:02:28.536Z","2023-05-20T04:02:34.284Z",TRUE,"pitch","2cc26bff-f75a-49e2-93f6-fce88bea1746",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.5519,1.5816,NA,111.29,236.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,6,1,69,"bottom",9,"2023-05-20T04:02:01.542Z","2023-05-20T04:03:08.868Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",670174,"Josh Winckowski","/api/v1/people/670174","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres","Boston Red Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,80,14,2,0.4366,6.8994,24.9025,-35.9164,2.1486,-2.3454,0.1497,0.0939,2.9446,-125.3664,-6.8961,-1.3184,50.0029,5.8051,3.4265,6,9.6,24,2185,49,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-5.5,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
