"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","details.disengagementNum","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746385,"2024-05-22",5,"2024-05-22T03:09:04.442Z","2024-05-22T03:09:15.493Z",TRUE,"pitch","d280cf81-d25f-40e9-8d5c-e77c715b736c",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,1,NA,NA,3.58,1.69,NA,90.25,141.51,"line_drive","hard","9",212.21,99.61,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Jeremy Peña singles on a sharp line drive to right fielder Jo Adell. Kyle Tucker scores. Yordan Alvarez to 3rd.",1,5,6,84,"bottom",10,"2024-05-22T03:07:17.624Z","2024-05-22T03:09:15.493Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.2,3,0.9,0.389,6.2497,33.6555,-13.4635,-6.6463,9.3329,0.7018,3.6028,9.0282,-141.0786,-3.2314,-1.6842,50.007,5.6372,-13.3313,38.4,3.6,24,2141,216,100,12,253,NA,NA,NA,FALSE,-12.8,16.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,670541,"Yordan Alvarez","/api/v1/people/670541"
746385,"2024-05-22",4,"2024-05-22T03:08:46.343Z","2024-05-22T03:08:49.511Z",TRUE,"pitch","a6d01923-3b46-4148-915a-6c9c70378e3b",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.58,1.69,NA,111.88,153.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Jeremy Peña singles on a sharp line drive to right fielder Jo Adell. Kyle Tucker scores. Yordan Alvarez to 3rd.",1,5,6,84,"bottom",10,"2024-05-22T03:07:17.624Z","2024-05-22T03:09:15.493Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,88.4,2,0.9,0.3889,6.1148,32.3995,-15.0988,-5.7824,8.5039,0.1342,3.1514,7.1775,-140.9055,-4.1848,-1.6963,50.006,5.6334,-11.6152,32.4,3.6,24,1974,217,NA,NA,NA,NA,NA,NA,FALSE,-14.5,14.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",3,"2024-05-22T03:08:28.943Z","2024-05-22T03:08:32.682Z",TRUE,"pitch","6811959c-30b9-4a9c-af5b-b18dc2da478c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.4894,1.5951,NA,82.7,175.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Jeremy Peña singles on a sharp line drive to right fielder Jo Adell. Kyle Tucker scores. Yordan Alvarez to 3rd.",1,5,6,84,"bottom",10,"2024-05-22T03:07:17.624Z","2024-05-22T03:09:15.493Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,87.7,14,0.87,0.3921,6.3744,32.9355,-14.8612,-8.9532,8.7707,0.8999,2.3259,10.1386,-139.9396,-6.3877,-1.6147,50.0044,5.6199,-17.6774,43.2,4.8,24,2104,220,NA,NA,NA,NA,NA,NA,FALSE,-15.1,14.6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",1,"2024-05-22T03:07:50.775Z","2024-05-22T03:07:55.853Z",TRUE,"pitch","1662dc76-b7b1-4e18-8e24-3e899d9d3571",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.58,1.69,NA,140.11,138.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Jeremy Peña singles on a sharp line drive to right fielder Jo Adell. Kyle Tucker scores. Yordan Alvarez to 3rd.",1,5,6,84,"bottom",10,"2024-05-22T03:07:17.624Z","2024-05-22T03:09:15.493Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97,88.2,11,0.9,0.3889,6.2598,33.5103,-13.9846,-7.0538,9.0657,-0.6062,3.7245,5.6745,-141.0939,-3.1745,-1.7317,50.0058,5.7712,-14.1577,40.8,3.6,24,2138,216,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",0,"2024-05-22T03:07:33.582Z","2024-05-22T03:07:37.305Z",TRUE,"pitch","90114954-859a-4039-9983-17a82d25b404",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.58,1.69,NA,101.5,150.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Jeremy Peña singles on a sharp line drive to right fielder Jo Adell. Kyle Tucker scores. Yordan Alvarez to 3rd.",1,5,6,84,"bottom",10,"2024-05-22T03:07:17.624Z","2024-05-22T03:09:15.493Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,86.4,3,0.9,0.396,6.3867,34.4004,-12.904,-5.1676,9.9747,0.4066,3.2794,8.2413,-138.9158,-4.265,-1.9427,50.0058,5.708,-9.9871,30,3.6,24,2007,216,NA,NA,NA,NA,NA,NA,FALSE,-13.1,17.2,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",2,"2024-05-22T03:07:59.762Z","2024-05-22T03:08:28.943Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,665161,"/api/v1/people/665161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Jeremy Peña singles on a sharp line drive to right fielder Jo Adell. Kyle Tucker scores. Yordan Alvarez to 3rd.",1,5,6,84,"bottom",10,"2024-05-22T03:07:17.624Z","2024-05-22T03:09:15.493Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",3,"2024-05-22T03:06:53.416Z","2024-05-22T03:07:06.809Z",TRUE,"pitch","070006f6-010f-42fe-b34e-2fd1d761c490",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.23,1.55,NA,107.72,154.08,"fly_ball","medium","7",82.57,65.83,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Alex Bregman flies out to left fielder Taylor Ward. Kyle Tucker to 3rd. Yordan Alvarez to 2nd.",0,5,5,83,"bottom",10,"2024-05-22T03:05:46.072Z","2024-05-22T03:07:06.809Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,608324,"Alex Bregman","/api/v1/people/608324","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.8,80.9,2,0.89,0.4252,6.2674,28.8469,-28.4708,2.244,2.208,0.2434,3.1372,3.9169,-129.2108,-1.6087,-1.5883,50.0046,5.9717,3.7644,9.6,7.2,24,2217,153,95.8,38,348,NA,NA,NA,TRUE,-31.1,3.8,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",670541,"Yordan Alvarez","/api/v1/people/670541",663656,"Kyle Tucker","/api/v1/people/663656"
746385,"2024-05-22",2,"2024-05-22T03:06:34.029Z","2024-05-22T03:06:37.339Z",TRUE,"pitch","45b8a4c6-7a04-4084-8ace-d291253c0525",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.23,1.55,NA,101.17,150.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Alex Bregman flies out to left fielder Taylor Ward. Kyle Tucker to 3rd. Yordan Alvarez to 2nd.",0,5,5,83,"bottom",10,"2024-05-22T03:05:46.072Z","2024-05-22T03:07:06.809Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,608324,"Alex Bregman","/api/v1/people/608324","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,85.9,3,0.88,0.3995,6.377,31.6937,-13.3561,-6.1413,9.8979,0.4153,3.2618,7.7329,-137.3387,-4.2644,-1.645,50.006,5.7495,-11.6809,34.8,3.6,24,2052,219,NA,NA,NA,NA,NA,NA,FALSE,-13.7,17.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",1,"2024-05-22T03:06:09.373Z","2024-05-22T03:06:16.172Z",TRUE,"pitch","5214f5c3-91c7-4a94-9d36-df500f3982d1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,0,NA,NA,3.23,1.55,NA,117.09,153.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Alex Bregman flies out to left fielder Taylor Ward. Kyle Tucker to 3rd. Yordan Alvarez to 2nd.",0,5,5,83,"bottom",10,"2024-05-22T03:05:46.072Z","2024-05-22T03:07:06.809Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,608324,"Alex Bregman","/api/v1/people/608324","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,84.7,2,0.85,0.4047,6.4386,31.7093,-14.0358,-6.1414,9.7942,-0.0025,3.1619,6.6274,-135.7122,-4.568,-1.6867,50.0013,5.8556,-11.3722,33.6,3.6,24,2026,213,NA,NA,NA,NA,NA,NA,FALSE,-14.8,16.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
746385,"2024-05-22",0,"2024-05-22T03:05:52.158Z","2024-05-22T03:05:56.403Z",TRUE,"pitch","042422ee-b46a-4942-bfeb-2c8a7a44bf87",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.0825,1.55,NA,80,214.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Alex Bregman flies out to left fielder Taylor Ward. Kyle Tucker to 3rd. Yordan Alvarez to 2nd.",0,5,5,83,"bottom",10,"2024-05-22T03:05:46.072Z","2024-05-22T03:07:06.809Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,608324,"Alex Bregman","/api/v1/people/608324","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.6,81.4,14,0.9,0.426,6.0255,27.905,-26.3929,1.0429,3.4573,0.9705,0.892,5.9614,-128.807,-7.373,-1.5138,50.0049,5.8459,1.7433,6,7.2,24,2081,182,NA,NA,NA,NA,NA,NA,FALSE,-30.2,4.7,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,665161,"Jeremy Peña","/api/v1/people/665161",NA,NA,NA,NA,NA,NA
