"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716506,"2023-09-20",0,"2023-09-20T19:27:54.501Z","2023-09-20T19:28:01.356Z",TRUE,"pitch","8b73c2a1-3e28-427b-b23d-de93af4f0dc2",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.36,1.59,NA,138.29,173.48,"ground_ball","medium","6",108.54,149.4,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Forceout","force_out","Spencer Steer grounds into a force out, shortstop Kyle Farmer to second baseman Jorge Polanco. Nick Martini out at 2nd.",0,5,3,77,"bottom",9,"2023-09-20T19:27:53.154Z","2023-09-20T19:28:01.356Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,668715,"Spencer Steer","/api/v1/people/668715","R","Right",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.1,88.3,4,2,0.3885,6.2301,34.2328,-17.2402,-8.3504,7.431,-0.5585,2.4185,3.5636,-141.3485,-5.2046,-0.7554,50.0052,5.4022,-16.7855,40.8,4.8,24,2462,210,93.5,0,119,NA,NA,NA,TRUE,-16.7,12.5,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",7,"2023-09-20T19:27:13.684Z","2023-09-20T19:27:27.433Z",TRUE,"pitch","461736e5-12d4-4ccb-ad5f-14cf1e2d0305",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.12,1.45,NA,95.6,163.89,"fly_ball","medium","9",211.07,95.8,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",88.1,81.6,3,2,0.4253,6.28,24.5269,-34.1104,5.685,-1.1546,0.5615,2.7738,2.1411,-128.3956,-0.062,-1.0197,50.0007,5.4346,9.5671,16.8,8.4,24,2996,48,91.3,36,330,NA,NA,NA,TRUE,-36.8,-1.9,-10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,605361,"Nick Martini","/api/v1/people/605361",NA,NA,NA,NA,NA,NA
716506,"2023-09-20",6,"2023-09-20T19:26:49.870Z","2023-09-20T19:26:53.641Z",TRUE,"pitch","b6c0a99e-8f7c-41c1-a2f8-16cfd09b2b5c",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.12,1.45,NA,116.14,163.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97,88.1,2,2,0.389,6.3211,33.6437,-9.3713,-4.1796,11.3729,0.0226,2.8051,3.5215,-141.0705,-5.5594,-0.702,50.0061,5.4126,-8.3824,34.8,2.4,24,2419,209,NA,NA,NA,NA,NA,NA,FALSE,-9.6,19.6,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",5,"2023-09-20T19:26:27.958Z","2023-09-20T19:26:33.777Z",TRUE,"pitch","e799b203-a190-4ef2-aeb8-bd3e135b9e26",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,1,NA,NA,3.12,1.45,NA,131.47,161.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,88.2,1,2,0.3889,6.3064,33.4604,-10.3601,-6.4448,10.8755,-0.3796,2.8646,3.2141,-141.0677,-5.3277,-0.6992,50.0068,5.4518,-12.9329,46.8,3.6,24,2497,205,NA,NA,NA,NA,NA,NA,FALSE,-10.4,18.7,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",4,"2023-09-20T19:26:08.201Z","2023-09-20T19:26:12.497Z",TRUE,"pitch","81b52709-ea67-4243-91b0-e5b91cb86eb4",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,1,NA,NA,3.1446,1.4791,NA,118.68,176.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,87.6,5,2,0.3919,6.3521,33.241,-9.8337,-7.1347,11.3092,-0.044,2.29,4.3504,-140.0472,-6.8028,-0.695,50.0033,5.4024,-14.0954,49.2,3.6,24,2508,207,NA,NA,NA,NA,NA,NA,FALSE,-10.4,19.2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",2,"2023-09-20T19:25:28.490Z","2023-09-20T19:25:32.761Z",TRUE,"pitch","2c305b47-8fac-47e8-a34e-400fb11f2ef0",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.1707,1.4791,NA,168.03,135.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,87.1,11,2,0.3929,6.2446,34.0509,-9.0127,-6.2902,11.7921,-1.3388,3.8254,0.9697,-139.8667,-3.0703,-0.875,50.0067,5.5367,-12.3591,51.6,3.6,24,2398,207,NA,NA,NA,NA,NA,NA,FALSE,-9,20.9,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",1,"2023-09-20T19:25:05.759Z","2023-09-20T19:25:12.092Z",TRUE,"pitch","8132fbe6-d70d-4c89-9dfb-7c58e214ef5d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.1202,1.4526,NA,127.61,134.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.4,83.5,11,2,0.4117,6.274,28.6382,-22.0923,-10.7712,5.6247,-0.2783,3.8595,4.9871,-133.0503,-0.3011,-0.7779,50.003,5.5757,-19.3043,39.6,6,24,1940,233,NA,NA,NA,NA,NA,NA,FALSE,-22.4,10.3,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",0,"2023-09-20T19:24:48.490Z","2023-09-20T19:24:52.331Z",TRUE,"pitch","9233d6c4-7c1e-4bbc-a991-1cde3964fc1e",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1446,1.426,NA,152.47,121.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.2,11,2,0.393,6.264,32.466,-12.6575,-6.3558,9.9272,-0.9305,4.3551,2.23,-139.5777,-0.976,-0.9157,50.0031,5.5458,-12.4955,43.2,3.6,24,2439,208,NA,NA,NA,NA,NA,NA,FALSE,-11.9,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",3,"2023-09-20T19:25:40.960Z","2023-09-20T19:26:08.201Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","TJ Friedl flies out to right fielder Max Kepler.",0,5,3,76,"bottom",9,"2023-09-20T19:24:40.560Z","2023-09-20T19:27:27.433Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,670770,"TJ Friedl","/api/v1/people/670770","L","Left",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716506,"2023-09-20",2,"2023-09-20T19:24:16.538Z","2023-09-20T19:24:21.840Z",TRUE,"pitch","ae7d5748-e5f5-4038-aa5e-eccf19f29a0b",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,0,NA,NA,3.2,1.47,NA,97.85,159.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Jonathan India strikes out swinging.",0,5,3,75,"bottom",9,"2023-09-20T19:23:30.344Z","2023-09-20T19:24:21.840Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,663697,"Jonathan India","/api/v1/people/663697","R","Right",643377,"Griffin Jax","/api/v1/people/643377","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Minnesota Twins","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",87.5,80.6,3,2,0.4294,6.2967,25.6712,-34.2972,6.626,-1.286,0.5023,2.9431,1.3492,-127.4409,0.1308,-0.8947,50.0035,5.5954,10.9226,18,8.4,24,3074,35,NA,NA,NA,NA,NA,NA,TRUE,-37.7,-2,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,605361,"Nick Martini","/api/v1/people/605361",NA,NA,NA,NA,NA,NA
