"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType"
716547,"2023-09-17",0,"2023-09-17T20:37:07.775Z","2023-09-17T20:37:15.564Z",TRUE,"pitch","f6eb354f-dc5d-4c86-9846-cbd01c7717d4",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.45,1.59,NA,129.42,182.74,"ground_ball","medium","5",106.59,162.6,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Nick Loftin grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",0,7,1,73,"bottom",9,"2023-09-17T20:36:54.499Z","2023-09-17T20:37:15.564Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,679845,"Nick Loftin","/api/v1/people/679845","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,89.2,7,0.89,0.3869,6.155,31.2864,-19.728,-9.0907,6.1272,-0.3257,2.0755,4.7249,-141.3982,-6.1704,-0.8344,50.0049,5.5459,-18.4678,39.6,6,24,2331,226,71.6,-23,7,NA,NA,NA,TRUE,-18.8,10.1,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",1,"2023-09-17T20:36:23.873Z","2023-09-17T20:36:37.414Z",TRUE,"pitch","a375fb77-d2f0-4798-ab15-abcdc489774a",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,2,NA,NA,3.45,1.59,NA,114.66,178.83,"line_drive","medium","7",43.9,106.19,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Double","double","Matt Duffy doubles (8) on a line drive to left fielder Michael Brantley.",0,7,1,72,"bottom",9,"2023-09-17T20:36:04.260Z","2023-09-17T20:36:37.414Z",TRUE,FALSE,FALSE,FALSE,34,1,0,2,622110,"Matt Duffy","/api/v1/people/622110","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.8,87.2,5,0.8,0.3985,6.6125,25.6716,-23.0022,-8.5267,4.7751,0.0615,2.2203,5.4776,-136.6457,-4.9527,-0.8452,50.0034,5.6044,-16.3789,32.4,6,24,2170,225,99.7,15,256,NA,NA,NA,FALSE,-22.7,7.9,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,622110,"Matt Duffy","/api/v1/people/622110",NA,NA,NA,NA,NA,NA
716547,"2023-09-17",0,"2023-09-17T20:36:10.622Z","2023-09-17T20:36:14.658Z",TRUE,"pitch","f678da59-6283-49c0-a429-4810b7bb7d16",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4502,1.5899,NA,50.5,190.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Double","double","Matt Duffy doubles (8) on a line drive to left fielder Michael Brantley.",0,7,1,72,"bottom",9,"2023-09-17T20:36:04.260Z","2023-09-17T20:36:37.414Z",TRUE,FALSE,FALSE,FALSE,34,1,0,2,622110,"Matt Duffy","/api/v1/people/622110","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.3,87.5,14,0.62,0.3995,6.2194,22.3788,-22.8692,-7.6294,4.8563,1.7446,1.8058,8.8998,-135.7614,-6.0026,-0.5447,50.0036,5.5792,-14.6184,28.8,6,24,2176,220,NA,NA,NA,NA,NA,NA,FALSE,-22.8,8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",3,"2023-09-17T20:35:35.513Z","2023-09-17T20:35:48.246Z",TRUE,"pitch","fc88bb12-c3ac-4791-83b0-f209aa740ba2",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.45,1.7,NA,118.04,167.7,"fly_ball","medium","9",170.09,98.72,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Nelson Velazquez flies out to right fielder Chas McCormick.",0,7,1,71,"bottom",9,"2023-09-17T20:34:44.121Z","2023-09-17T20:35:48.246Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,86.2,5,0.75,0.4018,6.5224,25.9966,-15.8604,-5.9311,8.6416,-0.0273,2.6324,4.3848,-135.6406,-4.9891,-0.8836,50.0051,5.5795,-11.1993,31.2,4.8,24,2300,232,98.3,53,274,NA,NA,NA,TRUE,-16.2,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",1,"2023-09-17T20:35:05.821Z","2023-09-17T20:35:09.437Z",TRUE,"pitch","c096afc4-961f-4fd3-93f6-b8d648c76f57",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.45,1.7,NA,103.71,169.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Nelson Velazquez flies out to right fielder Chas McCormick.",0,7,1,71,"bottom",9,"2023-09-17T20:34:44.121Z","2023-09-17T20:35:48.246Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.6,80,6,0.89,0.436,6.4741,21.0834,-32.3025,3.8623,-0.0803,0.3487,2.5836,1.91,-124.8198,-1.2294,-0.9242,50.0026,5.7014,6.1984,10.8,8.4,24,1866,3,NA,NA,NA,NA,NA,NA,FALSE,-36.8,-0.1,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",0,"2023-09-17T20:34:51.984Z","2023-09-17T20:34:55.796Z",TRUE,"pitch","d3a20559-39fa-4ec2-ae32-1ee93c460738",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3336,1.6418,NA,95.81,169.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Nelson Velazquez flies out to right fielder Chas McCormick.",0,7,1,71,"bottom",9,"2023-09-17T20:34:44.121Z","2023-09-17T20:35:48.246Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,86.5,6,2,0.4014,6.036,24.9914,-20.8941,-8.2786,5.9583,0.5559,2.5526,6.2191,-135.5782,-4.7099,-0.6732,50.0008,5.7383,-15.6681,33.6,6,24,2011,198,NA,NA,NA,NA,NA,NA,FALSE,-21,10.2,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",2,"2023-09-17T20:35:24.217Z","2023-09-17T20:35:35.513Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",7,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,676369,"/api/v1/people/676369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Nelson Velazquez flies out to right fielder Chas McCormick.",0,7,1,71,"bottom",9,"2023-09-17T20:34:44.121Z","2023-09-17T20:35:48.246Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,676369,"Nelson Velázquez","/api/v1/people/676369","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",2,"2023-09-17T20:34:17.144Z","2023-09-17T20:34:27.534Z",TRUE,"pitch","57a3d8f1-cda2-4b48-8176-195fe46bf5df",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.49,1.65,NA,126.71,165.96,"popup","medium","3",150.16,190.68,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Edward Olivares pops out to first baseman Jose Abreu in foul territory.",0,7,1,70,"bottom",9,"2023-09-17T20:33:59.828Z","2023-09-17T20:34:27.534Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,658668,"Edward Olivares","/api/v1/people/658668","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93,86.5,5,0.62,0.4015,6.0452,24.9368,-20.69,-7.1498,6.0687,-0.2547,2.6972,4.0636,-135.5561,-4.2492,-0.8311,50.0021,5.6983,-13.5305,31.2,4.8,24,2187,220,88.8,75,67,NA,NA,NA,TRUE,-20.6,10.4,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",1,"2023-09-17T20:34:02.184Z","2023-09-17T20:34:06.097Z",TRUE,"pitch","eb68d2cb-1232-471c-b159-c16172a89ded",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.6069,1.6499,NA,96.96,174.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Edward Olivares pops out to first baseman Jose Abreu in foul territory.",0,7,1,70,"bottom",9,"2023-09-17T20:33:59.828Z","2023-09-17T20:34:27.534Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,658668,"Edward Olivares","/api/v1/people/658668","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92,85.7,6,0.61,0.4061,6.1107,23.7411,-21.3234,-8.1375,5.8638,0.5257,2.3883,6.267,-133.9122,-4.9597,-0.7657,50.0052,5.7514,-15.0636,32.4,6,24,2120,224,NA,NA,NA,NA,NA,NA,FALSE,-21.8,10,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716547,"2023-09-17",0,"2023-09-17T20:32:54.959Z","2023-09-17T20:34:02.184Z",FALSE,"action",NA,NA,"Pitching Change: Kendall Graveman replaces Bryan Abreu.","Pitching Substitution",7,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,608665,"/api/v1/people/608665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"70","atBat","Pop Out","field_out","Edward Olivares pops out to first baseman Jose Abreu in foul territory.",0,7,1,70,"bottom",9,"2023-09-17T20:33:59.828Z","2023-09-17T20:34:27.534Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,658668,"Edward Olivares","/api/v1/people/658668","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
