"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718463,"2023-04-23",2,"2023-04-23T19:57:59.039Z","2023-04-23T19:58:03.137Z",TRUE,"pitch","d21eb7cc-423a-4f1c-9c6a-4638c7b29df6",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,3,2,NA,NA,3.45,1.59,NA,94.65,150.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Stuart Fairchild strikes out on a foul tip.",0,0,2,65,"top",9,"2023-04-23T19:57:07.736Z","2023-04-23T19:58:03.137Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.8,3,0.91,0.3913,7.0066,32.7575,-10.6897,-4.692,10.8397,0.5863,3.2753,8.5253,-140.1584,-4.9401,-1.8904,50.0062,5.7637,-9.3032,31.2,2.4,24,2408,215,NA,NA,NA,NA,NA,NA,TRUE,-10.8,18.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",1,"2023-04-23T19:57:38.593Z","2023-04-23T19:57:41.593Z",TRUE,"pitch","9211c510-8268-4cad-a258-e85aa34cb214",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.45,1.59,NA,97.79,192.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Stuart Fairchild strikes out on a foul tip.",0,0,2,65,"top",9,"2023-04-23T19:57:07.736Z","2023-04-23T19:58:03.137Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77,70.7,9,0.9,0.4909,6.4471,22.1189,-39.4792,4.6377,-5.8085,0.5041,1.7139,4.3338,-112.0002,0.0856,-2.0657,50.0029,5.7464,5.8322,9.6,13.2,24,2448,51,NA,NA,NA,NA,NA,NA,FALSE,-56.6,-10.1,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",0,"2023-04-23T19:57:20.290Z","2023-04-23T19:57:23.290Z",TRUE,"pitch","22ea7adb-b132-4547-a47a-7374af4a55e6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.45,1.59,NA,112.31,142.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Stuart Fairchild strikes out on a foul tip.",0,0,2,65,"top",9,"2023-04-23T19:57:07.736Z","2023-04-23T19:58:03.137Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,86.5,12,0.89,0.3964,6.838,32.7575,-12.8652,-5.0047,10.0018,0.123,3.5744,7.4267,-138.5121,-3.6663,-1.9506,50.0056,5.7836,-9.6651,30,3.6,24,2390,215,NA,NA,NA,NA,NA,NA,FALSE,-12.8,17.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",4,"2023-04-23T19:56:42.746Z","2023-04-23T19:56:53.783Z",TRUE,"pitch","ce0d7eb6-7e06-47a6-8514-9cccd479f201",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.38,1.53,NA,121.84,139.31,"line_drive","medium","9",179.17,77,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Wil Myers singles on a line drive to right fielder Connor Joe.",0,0,2,64,"top",9,"2023-04-23T19:55:11.953Z","2023-04-23T19:56:53.783Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,571976,"Wil Myers","/api/v1/people/571976","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.4,72.4,11,0.89,0.4792,6.516,20.1101,-38.8592,3.3382,-5.0507,-0.1269,3.6842,3.6171,-114.0939,3.3284,-2.1637,50.0015,6.0245,4.4197,7.2,12,24,2426,46,96.1,17,288,NA,NA,NA,FALSE,-52.4,-8,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,571976,"Wil Myers","/api/v1/people/571976",NA,NA,NA
718463,"2023-04-23",3,"2023-04-23T19:56:19.923Z","2023-04-23T19:56:26.156Z",TRUE,"pitch","ef6e7dd9-bdb2-4327-85ac-3d20dd76cd60",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.38,1.53,NA,144.97,163.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Wil Myers singles on a line drive to right fielder Connor Joe.",0,0,2,64,"top",9,"2023-04-23T19:55:11.953Z","2023-04-23T19:56:53.783Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,571976,"Wil Myers","/api/v1/people/571976","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,87.6,4,0.93,0.3891,6.9963,37.941,-8.7259,-5.3055,11.7348,-0.7339,2.7838,5.4183,-141.7571,-6.6013,-1.9978,50.0002,5.7265,-10.5989,40.8,2.4,24,2502,210,NA,NA,NA,NA,NA,NA,FALSE,-9.5,19.8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",2,"2023-04-23T19:56:03.913Z","2023-04-23T19:56:08.942Z",TRUE,"pitch","0a02e285-b2e6-498b-9ba9-c79403911d8f",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,2,NA,NA,3.4159,1.5242,NA,98.09,158.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Wil Myers singles on a line drive to right fielder Connor Joe.",0,0,2,64,"top",9,"2023-04-23T19:55:11.953Z","2023-04-23T19:56:53.783Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,571976,"Wil Myers","/api/v1/people/571976","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,86.5,3,0.92,0.394,6.8305,37.4947,-8.8276,-4.8127,11.9851,0.4962,2.9619,8.2999,-140.0744,-6.1486,-1.9071,50.0005,5.7909,-9.374,34.8,2.4,24,2481,212,NA,NA,NA,NA,NA,NA,FALSE,-9.7,20.3,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",1,"2023-04-23T19:55:45.915Z","2023-04-23T19:55:50.909Z",TRUE,"pitch","bf7551bf-1d42-4891-b7c5-a6dd940e954c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.3801,1.447,NA,94.87,203.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Wil Myers singles on a line drive to right fielder Connor Joe.",0,0,2,64,"top",9,"2023-04-23T19:55:11.953Z","2023-04-23T19:56:53.783Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,571976,"Wil Myers","/api/v1/people/571976","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.6,71.5,14,0.89,0.4835,6.3833,25.268,-39.5179,3.4954,-5.6747,0.5806,1.2998,4.6388,-114.2325,-1.3282,-1.9477,50.0049,5.8501,4.5202,7.2,13.2,24,2415,45,NA,NA,NA,NA,NA,NA,FALSE,-55.4,-10.3,-7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",0,"2023-04-23T19:55:31.294Z","2023-04-23T19:55:35.426Z",TRUE,"pitch","2fecdee1-dce8-4cab-9870-3500784dd5cd",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3801,1.4727,NA,146.05,134.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Single","single","Wil Myers singles on a line drive to right fielder Connor Joe.",0,0,2,64,"top",9,"2023-04-23T19:55:11.953Z","2023-04-23T19:56:53.783Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,571976,"Wil Myers","/api/v1/people/571976","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.8,71.5,11,0.88,0.4808,6.331,23.9567,-39.4033,3.7571,-5.5132,-0.7622,3.846,1.7618,-114.5373,3.6505,-2.0331,50.0054,6.1209,4.9218,7.2,12,24,2357,44,NA,NA,NA,NA,NA,NA,FALSE,-53.2,-8.5,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",5,"2023-04-23T19:54:54.380Z","2023-04-23T19:55:02.905Z",TRUE,"pitch","97cc4755-1288-43c1-8d2e-8e87cb013ca7",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.3,1.6,NA,129.8,147.7,"popup","medium","6",105.64,110.82,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Jake Fraley pops out to shortstop Rodolfo Castro.",0,0,2,63,"top",9,"2023-04-23T19:53:04.929Z","2023-04-23T19:55:02.905Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,641584,"Jake Fraley","/api/v1/people/641584","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.2,1,0.91,0.3895,6.7785,32.8573,-12.2596,-4.5199,9.9472,-0.3359,3.3734,5.9621,-140.8015,-4.5107,-1.8965,50.0024,5.7935,-9.0489,30,3.6,24,2422,210,78.6,45,230,NA,NA,NA,TRUE,-12,17.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718463,"2023-04-23",4,"2023-04-23T19:54:36.095Z","2023-04-23T19:54:39.183Z",TRUE,"pitch","88b7ff9d-77c0-4a3b-a04c-1124830d8d13",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3001,1.6013,NA,127.51,218.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Jake Fraley pops out to shortstop Rodolfo Castro.",0,0,2,63,"top",9,"2023-04-23T19:53:04.929Z","2023-04-23T19:55:02.905Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,641584,"Jake Fraley","/api/v1/people/641584","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Pittsburgh Pirates","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",93.3,85.8,13,0.77,0.4038,6.791,29.6283,-24.8866,-4.953,3.9106,-0.2758,0.7688,6.472,-135.6231,-8.2396,-2.0494,50.0034,5.5818,-9.229,16.8,6,24,1746,220,NA,NA,NA,NA,NA,NA,FALSE,-26,5.5,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
