"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.disengagementNum","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
746816,"2024-06-27",5,"2024-06-27T22:24:38.122Z","2024-06-27T22:24:47.460Z",TRUE,"pitch","5e1a4920-46a3-46dd-8255-f0b88e9f1983",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,2,NA,NA,3.47,1.56,NA,136.58,163.56,"fly_ball","medium","8",136.76,79.55,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Travis d'Arnaud flies out to center fielder Luis Robert Jr.",0,0,1,60,"top",9,"2024-06-27T22:23:45.071Z","2024-06-27T22:24:47.460Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.3,4,0.91,0.3846,6.9529,33.7884,-10.3564,-7.4192,10.6302,-0.5137,2.7858,6.772,-142.596,-6.079,-1.9592,50.0048,5.6034,-15.2308,49.2,3.6,24,2616,216,94.4,44,300,NA,NA,NA,TRUE,-10.4,18.1,12,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",4,"2024-06-27T22:24:14.922Z","2024-06-27T22:24:18.538Z",TRUE,"pitch","09d784c9-d605-4c54-b7ae-60f9b25c221f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.5423,1.6403,NA,72.15,167.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Travis d'Arnaud flies out to center fielder Luis Robert Jr.",0,0,1,60,"top",9,"2024-06-27T22:23:45.071Z","2024-06-27T22:24:47.460Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,87.9,12,0.91,0.3921,7.2743,30.7152,-11.4704,-4.7416,10.4744,1.1767,2.6404,10.2991,-139.5488,-5.8194,-1.9419,50.0045,5.5049,-9.3742,28.8,2.4,24,2558,212,NA,NA,NA,NA,NA,NA,FALSE,-11.8,17.9,6.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",3,"2024-06-27T22:23:47.403Z","2024-06-27T22:23:51.248Z",TRUE,"pitch","fdee65dd-1c7d-4cbd-8487-efac58d8142b",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.6837,1.6781,NA,59.7,227.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Travis d'Arnaud flies out to center fielder Luis Robert Jr.",0,0,1,60,"top",9,"2024-06-27T22:23:45.071Z","2024-06-27T22:24:47.460Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,87.8,14,0.88,0.3924,7.1652,33.8548,-6.5504,-8.4639,13.0075,1.5032,0.4159,12.2167,-140.0011,-12.3865,-1.8328,50.0028,5.3433,-16.674,55.2,3.6,24,2692,217,NA,NA,NA,NA,NA,NA,FALSE,-9,20.8,12.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",0,"2024-06-27T22:22:43.787Z","2024-06-27T22:22:48.418Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Travis d'Arnaud replaces Forrest Wall.","Offensive Substitution",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,518595,"/api/v1/people/518595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","60","atBat","Flyout","field_out","Travis d'Arnaud flies out to center fielder Luis Robert Jr.",0,0,1,60,"top",9,"2024-06-27T22:23:45.071Z","2024-06-27T22:24:47.460Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,657088,"/api/v1/people/657088",TRUE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",1,"2024-06-27T22:22:48.418Z","2024-06-27T22:23:13.171Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Travis d'Arnaud flies out to center fielder Luis Robert Jr.",0,0,1,60,"top",9,"2024-06-27T22:23:45.071Z","2024-06-27T22:24:47.460Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",2,"2024-06-27T22:23:13.171Z","2024-06-27T22:23:47.403Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Luke Williams replaces Sean Murphy.","Offensive Substitution",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,663897,"/api/v1/people/663897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","601","60","atBat","Flyout","field_out","Travis d'Arnaud flies out to center fielder Luis Robert Jr.",0,0,1,60,"top",9,"2024-06-27T22:23:45.071Z","2024-06-27T22:24:47.460Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,518595,"Travis d'Arnaud","/api/v1/people/518595","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,1,669221,"/api/v1/people/669221",TRUE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",3,"2024-06-27T22:22:15.625Z","2024-06-27T22:22:26.898Z",TRUE,"pitch","24c3bef7-49db-4d50-89ed-39fed3078543",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,2,NA,NA,3.54,1.62,NA,82.56,153.8,"ground_ball","medium","6",102.11,140.67,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Field Error","field_error","Sean Murphy reaches on a fielding error by shortstop Paul DeJong.",0,0,1,59,"top",9,"2024-06-27T22:21:04.527Z","2024-06-27T22:22:26.898Z",TRUE,FALSE,FALSE,FALSE,0,1,2,2,669221,"Sean Murphy","/api/v1/people/669221","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.4,84.4,12,2,0.4106,7.1693,26.2796,-26.0801,0.0461,3.3789,0.9035,3.1473,8.5929,-132.9596,-1.4464,-2.3651,50.0063,5.5759,0.0826,3.6,6,24,2381,182,96.6,4,89,NA,NA,NA,FALSE,-26.5,6,-1.8,NA,NA,NA,NA,NA,NA,FALSE,TRUE,669221,"Sean Murphy","/api/v1/people/669221",NA,NA,NA
746816,"2024-06-27",2,"2024-06-27T22:21:57.867Z","2024-06-27T22:22:00.867Z",TRUE,"pitch","f0b99e5c-f6cd-4e28-9602-4da651cb9bbe",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.5024,1.6795,NA,101.98,178.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Field Error","field_error","Sean Murphy reaches on a fielding error by shortstop Paul DeJong.",0,0,1,59,"top",9,"2024-06-27T22:21:04.527Z","2024-06-27T22:22:26.898Z",TRUE,FALSE,FALSE,FALSE,0,1,2,2,669221,"Sean Murphy","/api/v1/people/669221","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.5,90.8,9,0.9,0.3813,6.944,29.7599,-11.5764,-8.61,9.832,0.3941,2.2176,10.9244,-143.0707,-6.9331,-2.3363,50.0002,5.3808,-18.0343,50.4,3.6,24,2685,223,NA,NA,NA,NA,NA,NA,FALSE,-11.4,16.7,13.7,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",1,"2024-06-27T22:21:41.268Z","2024-06-27T22:21:44.481Z",TRUE,"pitch","e5509a51-709b-4a3a-b955-e8ab0aed9830",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.4079,1.5308,NA,96.9,166.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Field Error","field_error","Sean Murphy reaches on a fielding error by shortstop Paul DeJong.",0,0,1,59,"top",9,"2024-06-27T22:21:04.527Z","2024-06-27T22:22:26.898Z",TRUE,FALSE,FALSE,FALSE,0,1,2,2,669221,"Sean Murphy","/api/v1/people/669221","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.2,90,6,0.91,0.3812,7.1632,34.9122,-6.0284,-7.9693,12.5188,0.5273,2.6776,10.3313,-143.9495,-7.1498,-2.0809,50.0019,5.5733,-16.6439,61.2,3.6,24,2747,216,NA,NA,NA,NA,NA,NA,FALSE,-6.8,21.2,12.2,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
746816,"2024-06-27",0,"2024-06-27T22:21:23.570Z","2024-06-27T22:21:27.362Z",TRUE,"pitch","b0fec71a-9257-4a8b-bead-3fd6f3a0c190",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5519,1.648,NA,77.7,181.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Field Error","field_error","Sean Murphy reaches on a fielding error by shortstop Paul DeJong.",0,0,1,59,"top",9,"2024-06-27T22:21:04.527Z","2024-06-27T22:22:26.898Z",TRUE,FALSE,FALSE,FALSE,0,1,2,2,669221,"Sean Murphy","/api/v1/people/669221","R","Right",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.3,90.4,14,0.9,0.3807,7.46,33.7387,-9.4624,-7.8315,10.8361,1.0311,2.137,11.8296,-143.9388,-7.6131,-2.1165,50.0036,5.4038,-16.4164,50.4,3.6,24,2687,223,NA,NA,NA,NA,NA,NA,FALSE,-9.8,18.1,11.8,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
