"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718187,"2023-05-14",5,"2023-05-15T02:13:29.966Z","2023-05-15T02:13:34.994Z",TRUE,"pitch","680bf200-8234-4f39-8158-31030dbdf91a",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.2746,1.6587,NA,141.83,170.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Pablo Reyes called out on strikes.",0,9,1,81,"bottom",9,"2023-05-15T02:12:04.054Z","2023-05-15T02:13:34.994Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.3,73.9,4,0.88,0.466,6.4498,26.3504,-39.8076,9.9573,-5.4767,-0.6514,2.5425,-0.7676,-118.3488,0.7356,-1.6103,50.0049,5.9264,13.8732,19.2,12,24,3291,50,NA,NA,NA,NA,NA,NA,TRUE,-51.2,-9.4,-17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",3,"2023-05-15T02:13:00.445Z","2023-05-15T02:13:04.174Z",TRUE,"pitch","377e3951-3169-43b5-992b-b4dac5ff852a",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.2127,1.5655,NA,113.68,184.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Pablo Reyes called out on strikes.",0,9,1,81,"bottom",9,"2023-05-15T02:12:04.054Z","2023-05-15T02:13:34.994Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.1,74.8,8,0.87,0.4617,6.3724,26.8206,-40.6724,9.8667,-5.9875,0.087,2.0271,1.2266,-119.4605,-0.2939,-1.715,50.0029,5.8637,14.0062,19.2,12,24,3270,47,NA,NA,NA,NA,NA,NA,FALSE,-51.7,-10.6,-18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",2,"2023-05-15T02:12:44.996Z","2023-05-15T02:12:48.753Z",TRUE,"pitch","3bd8233b-3bb1-4365-a2c6-f4efd760a764",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,2,NA,NA,3.2437,1.5655,NA,124.46,175.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Pablo Reyes called out on strikes.",0,9,1,81,"bottom",9,"2023-05-15T02:12:04.054Z","2023-05-15T02:13:34.994Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.4,84.7,5,0.9,0.4072,6.6109,28.7649,-14.0903,-1.4512,9.8654,-0.1956,2.3321,4.4319,-134.4431,-5.7877,-1.6759,50.0057,5.5107,-2.6617,6,3.6,24,2598,211,NA,NA,NA,NA,NA,NA,FALSE,-15.1,16.8,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",1,"2023-05-15T02:12:27.587Z","2023-05-15T02:12:32.712Z",TRUE,"pitch","14551c2e-6c61-4c65-8832-250d0bc7d744",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.2127,1.5033,NA,98.64,146.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Pablo Reyes called out on strikes.",0,9,1,81,"bottom",9,"2023-05-15T02:12:04.054Z","2023-05-15T02:13:34.994Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.5,84.9,12,0.9,0.4063,6.6143,27.9811,-15.4496,-2.297,9.0797,0.4818,3.422,6.2653,-134.5619,-3.1374,-1.5737,50.002,5.6914,-4.231,10.8,3.6,24,2546,208,NA,NA,NA,NA,NA,NA,FALSE,-15.8,16,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",0,"2023-05-15T02:12:10.809Z","2023-05-15T02:12:15.349Z",TRUE,"pitch","ee276cca-ab4c-4306-bac2-2c7d8e322ccc",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1817,1.5655,NA,68.51,183.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Pablo Reyes called out on strikes.",0,9,1,81,"bottom",9,"2023-05-15T02:12:04.054Z","2023-05-15T02:13:34.994Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.7,78.2,14,0.9,0.4411,6.5817,27.0562,-25.064,3.9499,4.562,1.2721,2.0626,5.8622,-124.5917,-3.6351,-1.6322,50.0023,5.6321,6.1555,15.6,7.2,24,2936,56,NA,NA,NA,NA,NA,NA,FALSE,-30,7.6,-8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",4,"2023-05-15T02:13:14.967Z","2023-05-15T02:13:29.966Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",9,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,622569,"/api/v1/people/622569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Pablo Reyes called out on strikes.",0,9,1,81,"bottom",9,"2023-05-15T02:12:04.054Z","2023-05-15T02:13:34.994Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",2,"2023-05-15T02:11:34.169Z","2023-05-15T02:11:41.541Z",TRUE,"pitch","51ed5d68-4015-42e3-b252-9a7c50e60b5d",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.34,1.64,NA,131.19,184.91,"ground_ball","medium","3",162.13,161.33,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Groundout","field_out","Reese McGuire grounds out, first baseman Brendan Donovan to pitcher Chris Stratton.",0,9,1,80,"bottom",9,"2023-05-15T02:10:55.484Z","2023-05-15T02:11:41.541Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,624512,"Reese McGuire","/api/v1/people/624512","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.3,74.5,7,0.89,0.4645,6.4651,24.4717,-37.1954,9.2799,-3.5796,-0.3722,1.9951,0.3779,-118.3219,-0.9255,-1.7382,50.0005,5.8269,13.0363,19.2,12,24,3202,50,87.2,-28,4,NA,NA,NA,TRUE,-48,-6.4,-16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",1,"2023-05-15T02:11:17.406Z","2023-05-15T02:11:21.646Z",TRUE,"pitch","f3f6d447-3004-46ac-873a-d1a05f532153",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3675,1.6276,NA,157.26,184.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Groundout","field_out","Reese McGuire grounds out, first baseman Brendan Donovan to pitcher Chris Stratton.",0,9,1,80,"bottom",9,"2023-05-15T02:10:55.484Z","2023-05-15T02:11:41.541Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,624512,"Reese McGuire","/api/v1/people/624512","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.6,80.5,13,0.71,0.4295,6.6857,25.9953,-28.1104,-10.1965,2.466,-1.0562,2.0016,4.8248,-127.4954,-3.7088,-1.6475,50.0023,5.6913,-16.8006,28.8,8.4,24,2259,229,NA,NA,NA,NA,NA,NA,FALSE,-31.8,3.8,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",0,"2023-05-15T02:11:01.127Z","2023-05-15T02:11:07.329Z",TRUE,"pitch","9ea9d0dd-70fd-43a2-8134-4015017c8c3b",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.34,1.64,NA,96.31,195.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Groundout","field_out","Reese McGuire grounds out, first baseman Brendan Donovan to pitcher Chris Stratton.",0,9,1,80,"bottom",9,"2023-05-15T02:10:55.484Z","2023-05-15T02:11:41.541Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,624512,"Reese McGuire","/api/v1/people/624512","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.3,75.6,9,0.51,0.4586,6.4966,24.9942,-35.9195,7.3756,-2.5979,0.5427,1.592,3.071,-119.8203,-2.1917,-1.717,50.0024,5.7543,10.6327,16.8,10.8,24,3232,51,NA,NA,NA,NA,NA,NA,FALSE,-45.6,-4.9,-14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718187,"2023-05-14",10,"2023-05-15T02:10:31.921Z","2023-05-15T02:10:35.554Z",TRUE,"pitch","84275105-fd46-4f4a-8816-993a8ded9371",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,0,NA,NA,3.027,1.5969,NA,150.84,168.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Enmanuel Valdez called out on strikes.",0,9,1,79,"bottom",9,"2023-05-15T02:09:08.866Z","2023-05-15T02:10:35.554Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,665839,"Enmanuel Valdez","/api/v1/people/665839","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.2,86,11,0.9,0.3998,6.5482,30.4179,-12.5985,-3.6656,10.3008,-0.8877,2.6125,3.8361,-137.0184,-5.6192,-1.83,50.0025,5.5515,-6.9663,24,3.6,24,2499,211,NA,NA,NA,NA,NA,NA,TRUE,-13.2,17.6,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
