"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718476,"2023-04-22",3,"2023-04-22T19:43:06.651Z","2023-04-22T19:43:13.889Z",TRUE,"pitch","3af64284-9fb6-4ca2-aa2b-0b15f9fe7bb2",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,0,NA,NA,3.43,1.65,NA,129.18,192.79,"ground_ball","medium","8",105.39,102.99,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","DJ LeMahieu singles on a ground ball to center fielder Daulton Varsho. Isiah Kiner-Falefa scores. Gleyber Torres to 3rd. Willie Calhoun to 2nd.",1,2,3,70,"bottom",9,"2023-04-22T19:42:41.703Z","2023-04-22T19:43:13.889Z",TRUE,TRUE,FALSE,FALSE,60,1,0,0,518934,"DJ LeMahieu","/api/v1/people/518934","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.6,78.8,7,0.9,0.4374,7.5517,29.0651,-34.1958,1.6388,-1.2725,-0.3194,1.7033,5.8488,-125.9413,-2.7961,-2.8989,50.0056,5.6347,2.5946,6,9.6,24,2102,72,103.9,2,68,NA,NA,NA,FALSE,-39.7,-2.8,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,518934,"DJ LeMahieu","/api/v1/people/518934",641432,"Willie Calhoun","/api/v1/people/641432",650402,"Gleyber Torres","/api/v1/people/650402"
718476,"2023-04-22",2,"2023-04-22T19:42:44.066Z","2023-04-22T19:42:48.338Z",TRUE,"pitch","26af684e-a7f4-4650-a9e1-456caccd40f8",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,0,NA,NA,3.3897,1.6438,NA,90.48,222.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","DJ LeMahieu singles on a ground ball to center fielder Daulton Varsho. Isiah Kiner-Falefa scores. Gleyber Torres to 3rd. Willie Calhoun to 2nd.",1,2,3,70,"bottom",9,"2023-04-22T19:42:41.703Z","2023-04-22T19:43:13.889Z",TRUE,TRUE,FALSE,FALSE,60,1,0,0,518934,"DJ LeMahieu","/api/v1/people/518934","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,79.7,14,0.9,0.4355,7.7378,28.1471,-31.3892,2.7256,0.4902,0.6958,0.6102,7.9214,-126.2624,-6.0042,-2.8491,50.0019,5.5766,4.3552,10.8,8.4,24,2188,71,NA,NA,NA,NA,NA,NA,FALSE,-37,-0.4,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,518934,"DJ LeMahieu","/api/v1/people/518934",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",0,"2023-04-22T19:41:35.100Z","2023-04-22T19:41:43.257Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter DJ LeMahieu replaces Franchy Cordero.","Offensive Substitution",2,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,518934,"/api/v1/people/518934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","601","70","atBat","Single","single","DJ LeMahieu singles on a ground ball to center fielder Daulton Varsho. Isiah Kiner-Falefa scores. Gleyber Torres to 3rd. Willie Calhoun to 2nd.",1,2,3,70,"bottom",9,"2023-04-22T19:42:41.703Z","2023-04-22T19:43:13.889Z",TRUE,TRUE,FALSE,FALSE,60,1,0,0,518934,"DJ LeMahieu","/api/v1/people/518934","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,614173,"/api/v1/people/614173",NA,NA,NA,NA,NA,NA,FALSE,FALSE,518934,"DJ LeMahieu","/api/v1/people/518934",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",1,"2023-04-22T19:41:43.257Z","2023-04-22T19:42:44.066Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","DJ LeMahieu singles on a ground ball to center fielder Daulton Varsho. Isiah Kiner-Falefa scores. Gleyber Torres to 3rd. Willie Calhoun to 2nd.",1,2,3,70,"bottom",9,"2023-04-22T19:42:41.703Z","2023-04-22T19:43:13.889Z",TRUE,TRUE,FALSE,FALSE,60,1,0,0,518934,"DJ LeMahieu","/api/v1/people/518934","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,518934,"DJ LeMahieu","/api/v1/people/518934",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",5,"2023-04-22T19:41:12.424Z","2023-04-22T19:41:18.035Z",TRUE,"pitch","74f239d9-55be-4bd6-a572-4addd86cfb4c",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,0,NA,NA,3.1101,1.4332,NA,181.42,150.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","Willie Calhoun walks.",0,2,2,69,"bottom",9,"2023-04-22T19:39:54.520Z","2023-04-22T19:41:18.035Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,641432,"Willie Calhoun","/api/v1/people/641432","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,85.3,11,0.9,0.4003,7.533,34.4903,-11.9659,-4.078,10.6919,-1.6901,3.285,5.2012,-137.5775,-4.0057,-3.0878,50.0058,5.5892,-7.7101,26.4,3.6,24,2372,209,NA,NA,NA,NA,NA,NA,FALSE,-12.4,18.6,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641432,"Willie Calhoun","/api/v1/people/641432",650402,"Gleyber Torres","/api/v1/people/650402",643396,"Isiah Kiner-Falefa","/api/v1/people/643396"
718476,"2023-04-22",4,"2023-04-22T19:40:54.425Z","2023-04-22T19:41:00.235Z",TRUE,"pitch","e84d8703-0c15-4b9e-ad1a-902e0f154844",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,3.1522,1.4859,NA,131.38,215.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","Willie Calhoun walks.",0,2,2,69,"bottom",9,"2023-04-22T19:39:54.520Z","2023-04-22T19:41:18.035Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,641432,"Willie Calhoun","/api/v1/people/641432","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.2,80.3,13,0.9,0.4324,7.4406,26.9491,-32.6213,2.912,-0.2771,-0.3773,0.855,5.4431,-126.8745,-5.3877,-2.9322,50.0031,5.6185,4.7262,9.6,8.4,24,2228,73,NA,NA,NA,NA,NA,NA,FALSE,-37.7,-1.6,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641432,"Willie Calhoun","/api/v1/people/641432",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",3,"2023-04-22T19:40:37.933Z","2023-04-22T19:40:41.840Z",TRUE,"pitch","3aaf494b-a7c1-47e3-9a1a-2937df0ed83a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.1786,1.4859,NA,143.54,211.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","Willie Calhoun walks.",0,2,2,69,"bottom",9,"2023-04-22T19:39:54.520Z","2023-04-22T19:41:18.035Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,641432,"Willie Calhoun","/api/v1/people/641432","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,88.1,13,0.91,0.3895,7.6987,35.6639,-7.2077,-3.9024,12.5,-0.6962,1.0277,7.4878,-141.2463,-11.1246,-2.8886,50.0018,5.5048,-7.7941,31.2,2.4,24,2510,210,NA,NA,NA,NA,NA,NA,FALSE,-9.1,20.2,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641432,"Willie Calhoun","/api/v1/people/641432",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",1,"2023-04-22T19:40:19.786Z","2023-04-22T19:40:25.754Z",TRUE,"pitch","ab422436-ce96-4bc6-a8d6-d5d94714bff3",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.0467,1.4069,NA,142.22,194.84,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","Willie Calhoun walks.",0,2,2,69,"bottom",9,"2023-04-22T19:39:54.520Z","2023-04-22T19:41:18.035Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,641432,"Willie Calhoun","/api/v1/people/641432","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,85.6,7,0.9,0.3993,7.8066,36.1367,-10.2103,-4.7421,11.5749,-0.6616,1.6275,7.3428,-138.1777,-8.6075,-2.7604,50.0062,5.5048,-9.0013,30,3.6,24,2433,214,NA,NA,NA,NA,NA,NA,FALSE,-11.9,18.8,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641432,"Willie Calhoun","/api/v1/people/641432",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",0,"2023-04-22T19:39:54.520Z","2023-04-22T19:39:59.520Z",FALSE,"no_pitch","2587eb7f-1a51-40b2-8cbc-c307ee2ca77e",0,"Automatic Ball - Pitcher Pitch Timer Violation",NA,NA,NA,NA,FALSE,"VP",NA,FALSE,FALSE,TRUE,"VP","Automatic Ball - Pitcher Pitch Timer Violation",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","Willie Calhoun walks.",0,2,2,69,"bottom",9,"2023-04-22T19:39:54.520Z","2023-04-22T19:41:18.035Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,641432,"Willie Calhoun","/api/v1/people/641432","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitcher_pitch_timer","Pitcher Pitch Timer Violation",605447,"Jordan Romano",FALSE,FALSE,641432,"Willie Calhoun","/api/v1/people/641432",NA,NA,NA,NA,NA,NA
718476,"2023-04-22",2,"2023-04-22T19:40:34.127Z","2023-04-22T19:40:37.933Z",FALSE,"action",NA,NA,"Gleyber Torres advances to 2nd on defensive indifference.","Defensive Indiff",2,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,0,650402,"/api/v1/people/650402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab422436-ce96-4bc6-a8d6-d5d94714bff3","defensive_indiff",NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","Willie Calhoun walks.",0,2,2,69,"bottom",9,"2023-04-22T19:39:54.520Z","2023-04-22T19:41:18.035Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,641432,"Willie Calhoun","/api/v1/people/641432","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Loaded",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,641432,"Willie Calhoun","/api/v1/people/641432",NA,NA,NA,NA,NA,NA
