"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716808,"2023-08-28",4,"2023-08-29T01:15:18.950Z","2023-08-29T01:15:22.733Z",TRUE,"pitch","669a4500-89a8-47d2-bb55-f0a7cb59081e",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.58,1.82,NA,72.77,207.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Miguel Cabrera strikes out swinging.",0,4,1,73,"bottom",9,"2023-08-29T01:13:45.287Z","2023-08-29T01:15:22.733Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,408234,"Miguel Cabrera","/api/v1/people/408234","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,82.9,14,0.9,0.4228,5.8742,22.522,-33.5447,0.8486,-0.8038,1.1604,1.1642,3.6273,-128.7161,-6.4976,-0.3679,50.0039,6.2655,1.4469,3.6,8.4,24,2518,18,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,-37,-2.5,-2.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",3,"2023-08-29T01:14:53.002Z","2023-08-29T01:14:56.153Z",TRUE,"pitch","a8c2809d-ecd9-4085-917d-d75099270100",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.58,1.82,NA,141.75,169.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Miguel Cabrera strikes out swinging.",0,4,1,73,"bottom",9,"2023-08-29T01:13:45.287Z","2023-08-29T01:15:22.733Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,408234,"Miguel Cabrera","/api/v1/people/408234","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,86.3,4,0.9,0.3982,5.8857,33.5905,-26.5596,-9.0361,2.9385,-0.6492,2.5512,2.8837,-138.0747,-5.2497,-0.5395,50.0046,6.2872,-17.2756,31.2,7.2,24,2007,219,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-26.3,4.3,15.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",2,"2023-08-29T01:14:33.345Z","2023-08-29T01:14:37.157Z",TRUE,"pitch","111f29f9-0d37-4ea9-a054-983db743fbd1",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.58,1.8383,NA,108.58,220.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Miguel Cabrera strikes out swinging.",0,4,1,73,"bottom",9,"2023-08-29T01:13:45.287Z","2023-08-29T01:15:22.733Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,408234,"Miguel Cabrera","/api/v1/people/408234","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,87.2,14,0.9,0.3949,5.936,35.8244,-23.1641,-10.2597,4.6397,0.2209,0.6907,5.4451,-139.5212,-10.602,-0.4391,50.0027,6.1105,-19.9206,36,7.2,24,2152,226,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-24.1,6,17.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",1,"2023-08-29T01:14:14.911Z","2023-08-29T01:14:18.962Z",TRUE,"pitch","7308f6aa-6251-41a1-bea8-74da179e1677",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.58,1.82,NA,139.35,181.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Miguel Cabrera strikes out swinging.",0,4,1,73,"bottom",9,"2023-08-29T01:13:45.287Z","2023-08-29T01:15:22.733Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,408234,"Miguel Cabrera","/api/v1/people/408234","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.8,85.3,7,0.91,0.4033,5.8304,33.3307,-27.5222,-9.8229,2.4992,-0.5862,2.1109,3.405,-136.4353,-6.1674,-0.5829,50.0057,6.3278,-18.3022,31.2,7.2,24,2044,226,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-28.1,3.2,16.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",0,"2023-08-29T01:13:59.593Z","2023-08-29T01:14:03.773Z",TRUE,"pitch","719411c0-d758-4e2f-9aa0-5ec19e141e60",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.58,1.8383,NA,166.37,148.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Miguel Cabrera strikes out swinging.",0,4,1,73,"bottom",9,"2023-08-29T01:13:45.287Z","2023-08-29T01:15:22.733Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,408234,"Miguel Cabrera","/api/v1/people/408234","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.6,86.9,11,0.81,0.3948,5.7443,33.7316,-21.8213,-7.4884,5.3214,-1.2951,3.3539,1.1605,-139.1788,-4.2408,-0.7476,50.0006,6.3583,-14.5633,32.4,6,24,2099,223,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-21.2,8.9,13.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",1,"2023-08-29T01:13:26.529Z","2023-08-29T01:13:34.123Z",TRUE,"pitch","4ca2b42e-b86d-42ee-b1eb-820ae42a6f1f",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.31,1.56,NA,140.48,159.53,"ground_ball","medium","4",140.72,155.49,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Kerry Carpenter grounds into a double play, second baseman Gleyber Torres to first baseman DJ LeMahieu. Spencer Torkelson out at 2nd. Kerry Carpenter out at 1st.",0,4,1,72,"bottom",9,"2023-08-29T01:13:24.135Z","2023-08-29T01:13:34.123Z",TRUE,FALSE,FALSE,TRUE,24,0,0,2,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,88,1,2,0.3937,5.7543,28.6631,-28.2346,-6.5578,2.0044,-0.6159,2.935,2.6009,-138.6842,-4.084,-0.7096,50.0016,6.2924,-12.8762,22.8,6,24,1997,231,95.3,-12,13,NA,NA,NA,TRUE,NA,NA,NA,NA,-26.9,3,11.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",0,"2023-08-29T01:12:33.388Z","2023-08-29T01:13:26.529Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Kerry Carpenter grounds into a double play, second baseman Gleyber Torres to first baseman DJ LeMahieu. Spencer Torkelson out at 2nd. Kerry Carpenter out at 1st.",0,4,1,72,"bottom",9,"2023-08-29T01:13:24.135Z","2023-08-29T01:13:34.123Z",TRUE,FALSE,FALSE,TRUE,24,0,0,2,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716808,"2023-08-28",6,"2023-08-29T01:12:06.687Z","2023-08-29T01:12:17.276Z",TRUE,"pitch","70876ea2-cf1a-4e82-a9a4-1d05872a1168",7,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,0,NA,NA,3.47,1.6,NA,94.43,171.46,"ground_ball","medium","8",110.75,104.09,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Spencer Torkelson singles on a ground ball to center fielder Harrison Bader.",0,4,1,71,"bottom",9,"2023-08-29T01:09:53.838Z","2023-08-29T01:12:17.276Z",TRUE,FALSE,FALSE,FALSE,33,3,2,0,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.4,87.2,6,0.9,0.3955,5.8727,32.4249,-28.609,-8.3257,1.8381,0.5921,2.4933,6.1682,-138.7597,-4.905,-0.5832,50.0051,6.2013,-16.1607,26.4,7.2,24,1986,230,102.6,-11,13,NA,NA,NA,FALSE,NA,NA,NA,NA,-27.7,2.4,13.7,NA,NA,NA,NA,NA,FALSE,FALSE,679529,"Spencer Torkelson","/api/v1/people/679529",NA,NA,NA,NA,NA,NA
716808,"2023-08-28",5,"2023-08-29T01:11:43.587Z","2023-08-29T01:11:47.679Z",TRUE,"pitch","0532a987-0b46-4443-ad31-06afe6987890",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.47,1.6,NA,146.72,159.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Spencer Torkelson singles on a ground ball to center fielder Harrison Bader.",0,4,1,71,"bottom",9,"2023-08-29T01:09:53.838Z","2023-08-29T01:12:17.276Z",TRUE,FALSE,FALSE,FALSE,33,3,2,0,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88.4,1,0.85,0.3905,5.8368,31.5891,-29.4714,-7.1351,1.3573,-0.7797,2.935,2.3585,-140.2455,-4.0654,-0.7043,50.0041,6.3247,-14.2201,24,7.2,24,1982,227,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-27.6,1.8,12.5,NA,NA,NA,NA,NA,FALSE,FALSE,679529,"Spencer Torkelson","/api/v1/people/679529",NA,NA,NA,NA,NA,NA
716808,"2023-08-28",4,"2023-08-29T01:11:21.707Z","2023-08-29T01:11:25.525Z",TRUE,"pitch","58ba6efb-b423-4372-a298-82b9d19bda88",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.47,1.5513,NA,39.58,236.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Spencer Torkelson singles on a ground ball to center fielder Harrison Bader.",0,4,1,71,"bottom",9,"2023-08-29T01:09:53.838Z","2023-08-29T01:12:17.276Z",TRUE,FALSE,FALSE,FALSE,33,3,2,0,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.4,89.2,14,2,0.3909,6.0796,29.8253,-25.0981,-5.2001,3.5507,2.031,0.0807,8.4708,-139.8158,-11.8125,-0.3543,50.0025,5.9896,-10.356,18,6,24,2101,228,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-25.2,4.2,7.8,NA,NA,NA,NA,NA,FALSE,FALSE,679529,"Spencer Torkelson","/api/v1/people/679529",NA,NA,NA,NA,NA,NA
