"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746233,"2024-05-14",3,"2024-05-14T04:32:10.043Z","2024-05-14T04:32:17.858Z",TRUE,"pitch","8c373944-d624-4b25-8acb-635ea242254d",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.52,1.71,NA,137.95,166.63,"ground_ball","medium","4",149.31,145.37,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Groundout","field_out","Kyren Paris grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",0,10,5,81,"bottom",9,"2024-05-14T04:31:50.303Z","2024-05-14T04:32:17.858Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,677347,"Kyren Paris","/api/v1/people/677347","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.5,78.2,4,0.91,0.4387,7.1375,28.9719,-32.0857,-11.2814,0.0609,-0.5497,2.6722,8.5377,-125.5787,-0.8262,-2.5531,50.0063,5.6505,-17.7528,26.4,9.6,24,1619,241,88.9,4,76,NA,NA,NA,TRUE,-37,0.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",1,"2024-05-14T04:31:52.655Z","2024-05-14T04:31:59.140Z",TRUE,"pitch","75295f66-c240-4068-99ea-04f668b5cb16",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4865,1.5997,NA,74.81,177.96,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"81","atBat","Groundout","field_out","Kyren Paris grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",0,10,5,81,"bottom",9,"2024-05-14T04:31:50.303Z","2024-05-14T04:32:17.858Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,677347,"Kyren Paris","/api/v1/people/677347","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,85,14,0.88,0.4049,7.2841,31.6836,-17.3853,-7.044,7.9923,1.1067,2.2527,11.6025,-135.6599,-6.0787,-2.3246,50.0019,5.7485,-13.0338,28.8,4.8,24,2137,211,NA,NA,NA,NA,NA,NA,FALSE,-18.5,13.2,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",0,"2024-05-14T04:31:36.037Z","2024-05-14T04:31:52.655Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",10,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,677347,"/api/v1/people/677347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"81","atBat","Groundout","field_out","Kyren Paris grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",0,10,5,81,"bottom",9,"2024-05-14T04:31:50.303Z","2024-05-14T04:32:17.858Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,677347,"Kyren Paris","/api/v1/people/677347","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",2,"2024-05-14T04:32:02.489Z","2024-05-14T04:32:10.043Z",FALSE,"action",NA,NA,"Zach Neto advances to 2nd on defensive indifference.","Defensive Indiff",10,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,687263,"/api/v1/people/687263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75295f66-c240-4068-99ea-04f668b5cb16","defensive_indiff",NA,NA,NA,NA,NA,NA,"81","atBat","Groundout","field_out","Kyren Paris grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",0,10,5,81,"bottom",9,"2024-05-14T04:31:50.303Z","2024-05-14T04:32:17.858Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,677347,"Kyren Paris","/api/v1/people/677347","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",3,"2024-05-14T04:31:09.038Z","2024-05-14T04:31:13.226Z",TRUE,"pitch","42a6e8b1-f3dd-4fd1-a807-f68368ce121b",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,2,NA,NA,3.6253,1.7142,NA,157.43,151.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Zach Neto walks.",0,10,5,80,"bottom",9,"2024-05-14T04:30:14.314Z","2024-05-14T04:31:13.226Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.6,84.6,11,0.84,0.4067,7.2009,29.847,-20.4765,-7.0678,6.3693,-1.0607,3.242,6.1753,-134.7923,-2.995,-2.4654,50.0017,5.8166,-12.9787,28.8,4.8,24,2000,213,NA,NA,NA,NA,NA,NA,FALSE,-20.9,11,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,687263,"Zach Neto","/api/v1/people/687263",NA,NA,NA
746233,"2024-05-14",2,"2024-05-14T04:30:53.298Z","2024-05-14T04:30:57.253Z",TRUE,"pitch","ac5e1279-9c50-46c3-9ada-41bbf0822e57",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.6254,1.658,NA,159.12,148.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Zach Neto walks.",0,10,5,80,"bottom",9,"2024-05-14T04:30:14.314Z","2024-05-14T04:31:13.226Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,85,11,0.88,0.4044,7.0874,30.0827,-18.4092,-6.8164,7.4118,-1.105,3.3257,5.7518,-135.5184,-3.2306,-2.3712,50.001,5.8218,-12.656,31.2,4.8,24,2084,220,NA,NA,NA,NA,NA,NA,FALSE,-18.6,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",1,"2024-05-14T04:30:39.211Z","2024-05-14T04:30:43.099Z",TRUE,"pitch","c624aa9b-a576-401e-b778-74f9a9f4ddd4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.6159,1.658,NA,82.95,199.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Zach Neto walks.",0,10,5,80,"bottom",9,"2024-05-14T04:30:14.314Z","2024-05-14T04:31:13.226Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,80.2,14,0.91,0.4338,7.1027,24.8634,-26.8582,2.5246,3.2882,0.8932,1.44,7.6693,-126.1042,-5.1573,-2.5114,50.0028,5.6698,4.0766,10.8,7.2,24,2531,164,NA,NA,NA,NA,NA,NA,FALSE,-31.3,5,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",0,"2024-05-14T04:30:26.048Z","2024-05-14T04:30:30.130Z",TRUE,"pitch","5eeb9cbe-7668-4b60-a3cb-30ffe4f9465d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6827,1.6583,NA,137.17,205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Zach Neto walks.",0,10,5,80,"bottom",9,"2024-05-14T04:30:14.314Z","2024-05-14T04:31:13.226Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,80.1,13,0.64,0.4338,6.7485,25.1333,-26.8372,3.3365,3.3032,-0.5291,1.2438,4.4981,-126.1417,-5.696,-2.7673,50.0012,5.6887,5.3877,12,7.2,24,2542,176,NA,NA,NA,NA,NA,NA,FALSE,-31.4,4.9,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",2,"2024-05-14T04:29:54.723Z","2024-05-14T04:30:02.119Z",TRUE,"pitch","f358ad11-9555-4abd-9841-b76674082e81",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.71,1.73,NA,153.83,178.07,"ground_ball","medium","4",142.96,149.72,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Niko Goodrum grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",0,10,5,79,"bottom",9,"2024-05-14T04:29:23.252Z","2024-05-14T04:30:02.119Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592348,"Niko Goodrum","/api/v1/people/592348","L","Left",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.8,79.7,13,0.91,0.4337,7.0828,25.3663,-27.7664,-10.2597,2.7326,-0.9662,2.2484,7.7515,-126.2152,-2.9071,-2.7421,50.0062,5.6481,-16.5785,27.6,8.4,24,1687,247,79,-22,7,NA,NA,NA,TRUE,-31.8,4.6,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746233,"2024-05-14",1,"2024-05-14T04:29:41.556Z","2024-05-14T04:29:45.410Z",TRUE,"pitch","7799c586-d2ae-449e-a227-2c47c268a893",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.8684,1.7105,NA,140.64,159.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Niko Goodrum grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",0,10,5,79,"bottom",9,"2024-05-14T04:29:23.252Z","2024-05-14T04:30:02.119Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,592348,"Niko Goodrum","/api/v1/people/592348","L","Left",687798,"Nick Robertson","/api/v1/people/687798","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","St. Louis Cardinals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,84.8,4,0.9,0.4047,7.181,31.2829,-14.7034,-5.6577,9.431,-0.6201,2.9308,6.8276,-135.636,-4.9235,-2.4418,50.0021,5.8043,-10.4802,30,3.6,24,1928,216,NA,NA,NA,NA,NA,NA,FALSE,-15.5,16.1,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
