"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746712,"2024-05-22",5,"2024-05-23T00:53:02.082Z","2024-05-23T00:53:06.371Z",TRUE,"pitch","f7ea2af8-0fa8-4202-abb7-c6c9bacfd4e8",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.4,1.65,NA,129.62,135.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Martini strikes out swinging.",0,7,3,72,"bottom",9,"2024-05-23T00:51:16.313Z","2024-05-23T00:53:06.371Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605361,"Nick Martini","/api/v1/people/605361","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.4,91.9,11,0.95,0.3765,6.5315,29.6431,-13.4309,-4.5269,8.7173,-0.331,3.8322,3.98,-144.7574,-4.819,-1.1268,50.0039,6.3229,-9.7341,32.4,3.6,24,2063,212,NA,NA,NA,NA,NA,NA,TRUE,-12.2,15.1,7.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",4,"2024-05-23T00:52:37.140Z","2024-05-23T00:52:41.209Z",TRUE,"pitch","ea29ce7f-3ac6-42c9-9cd0-bb24f4268df1",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.4,1.65,NA,117.58,170.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Martini strikes out swinging.",0,7,3,72,"bottom",9,"2024-05-23T00:51:16.313Z","2024-05-23T00:53:06.371Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605361,"Nick Martini","/api/v1/people/605361","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99,90.7,5,0.95,0.3804,6.467,32.703,-11.2149,-4.5355,9.9733,-0.0152,2.5113,4.7087,-143.887,-8.5108,-1.0819,50.0046,6.1986,-9.5323,32.4,3.6,24,2397,209,NA,NA,NA,NA,NA,NA,FALSE,-11.4,16.6,7.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",3,"2024-05-23T00:52:15.079Z","2024-05-23T00:52:18.764Z",TRUE,"pitch","d1cfc600-7186-4c52-9475-6684ba18bfdd",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.4,1.65,NA,108.38,154.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Martini strikes out swinging.",0,7,3,72,"bottom",9,"2024-05-23T00:51:16.313Z","2024-05-23T00:53:06.371Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605361,"Nick Martini","/api/v1/people/605361","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,90.1,2,0.96,0.3819,6.6219,33.1841,-10.7982,-4.0727,10.2598,0.2262,3.1204,4.933,-143.4357,-6.887,-0.9868,50.0024,6.2258,-8.4858,31.2,2.4,24,2479,205,NA,NA,NA,NA,NA,NA,FALSE,-10.8,17.4,6.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",2,"2024-05-23T00:51:56.508Z","2024-05-23T00:52:02.480Z",TRUE,"pitch","4e083bd6-a676-47f8-80d3-ab20ed26ae3c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.4314,1.6494,NA,165.88,167.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Martini strikes out swinging.",0,7,3,72,"bottom",9,"2024-05-23T00:51:16.313Z","2024-05-23T00:53:06.371Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605361,"Nick Martini","/api/v1/people/605361","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,90.6,11,0.98,0.3809,6.4615,31.7123,-11.3732,-3.0436,9.9188,-1.2825,2.6571,0.8623,-143.5376,-7.8438,-1.1904,50.0004,6.1249,-6.3806,25.2,2.4,24,2338,210,NA,NA,NA,NA,NA,NA,FALSE,-11.3,16.7,5.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",1,"2024-05-23T00:51:38.550Z","2024-05-23T00:51:42.449Z",TRUE,"pitch","a33182d2-dcae-49ce-83ce-34b291f0ba85",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4314,1.6385,NA,72.72,141.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Martini strikes out swinging.",0,7,3,72,"bottom",9,"2024-05-23T00:51:16.313Z","2024-05-23T00:53:06.371Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605361,"Nick Martini","/api/v1/people/605361","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.8,90,12,0.76,0.3838,6.5511,30.2659,-14.8776,-5.3417,8.3707,1.1617,3.6132,8.0126,-142.2832,-4.6269,-0.9867,50.0011,6.1917,-11.0364,30,3.6,24,2298,211,NA,NA,NA,NA,NA,NA,FALSE,-13.9,14.5,8.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",0,"2024-05-23T00:51:18.262Z","2024-05-23T00:51:21.632Z",TRUE,"pitch","c4196b70-f770-4f86-9769-827c9cd70bde",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.4,1.65,NA,112.41,175.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Martini strikes out swinging.",0,7,3,72,"bottom",9,"2024-05-23T00:51:16.313Z","2024-05-23T00:53:06.371Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605361,"Nick Martini","/api/v1/people/605361","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.1,91.3,5,0.97,0.3788,6.6049,31.2237,-11.9233,-3.5929,9.5472,0.1203,2.3594,4.2997,-144.196,-8.6606,-0.9182,50.0055,6.1239,-7.6232,26.4,2.4,24,2430,207,NA,NA,NA,NA,NA,NA,FALSE,-11.9,15.8,5.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",3,"2024-05-23T00:50:52.353Z","2024-05-23T00:50:57.026Z",TRUE,"pitch","7b00c751-b480-4bd1-9f0e-495facf84698",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.32,1.61,NA,142.28,202.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,7,3,71,"bottom",9,"2024-05-23T00:49:55.808Z","2024-05-23T00:50:57.026Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668715,"Spencer Steer","/api/v1/people/668715","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97,89.1,13,0.97,0.388,6.4965,31.1112,-11.9899,-3.5092,9.9917,-0.6633,1.3341,2.194,-140.9972,-11.0534,-0.9943,50.0028,6.0718,-7.0878,25.2,3.6,24,2346,202,NA,NA,NA,NA,NA,NA,TRUE,-13,16.1,5.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,645801,"Mike Ford","/api/v1/people/645801",NA,NA,NA
746712,"2024-05-22",2,"2024-05-23T00:50:32.330Z","2024-05-23T00:50:36.006Z",TRUE,"pitch","bbddf8d0-a35e-4762-9b9c-9178df9d9e2f",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.32,1.61,NA,133.89,163.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,7,3,71,"bottom",9,"2024-05-23T00:49:55.808Z","2024-05-23T00:50:57.026Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668715,"Spencer Steer","/api/v1/people/668715","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,88.6,4,0.88,0.3874,6.5363,34.2137,-10.652,-5.3174,10.6433,-0.4432,2.7712,3.8026,-141.7224,-7.7159,-1.1156,50.0012,6.2197,-10.7504,38.4,3.6,24,2419,208,NA,NA,NA,NA,NA,NA,FALSE,-11.2,17.8,8.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",1,"2024-05-23T00:50:15.954Z","2024-05-23T00:50:28.674Z",TRUE,"pitch","a66f209f-f673-4287-8459-7cb8f96034c4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3547,1.5924,NA,119.62,210.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,7,3,71,"bottom",9,"2024-05-23T00:49:55.808Z","2024-05-23T00:50:57.026Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668715,"Spencer Steer","/api/v1/people/668715","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.7,89.2,13,0.87,0.3867,6.8153,33.4035,-12.9274,-7.7998,9.482,-0.0688,1.0332,5.1569,-141.799,-11.3421,-0.9007,50.001,5.9172,-15.8306,43.2,4.8,24,2337,208,NA,NA,NA,NA,NA,NA,FALSE,-13.9,14.9,13.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746712,"2024-05-22",0,"2024-05-23T00:49:58.990Z","2024-05-23T00:50:04.867Z",TRUE,"pitch","c3235241-9d15-4285-adc3-7628abf5f7d1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3547,1.5847,NA,96.47,168.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,7,3,71,"bottom",9,"2024-05-23T00:49:55.808Z","2024-05-23T00:50:57.026Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668715,"Spencer Steer","/api/v1/people/668715","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","San Diego Padres","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.9,88.8,6,0.9,0.3883,6.7213,31.2733,-15.0376,-8.1755,8.4993,0.5387,2.6103,7.0179,-140.9286,-6.9582,-0.9185,50.0061,6.0782,-16.4896,42,4.8,24,2251,202,NA,NA,NA,NA,NA,NA,FALSE,-15,14.2,13.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
