"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
716540,"2023-09-17",4,"2023-09-17T22:27:11.230Z","2023-09-17T22:27:18.752Z",TRUE,"pitch","68fc7542-9ffb-4dde-b47e-5b7db0cec61e",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.52,1.68,NA,74.79,170.36,"line_drive","medium","4",153.55,138.86,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Lineout","field_out","Charlie Blackmon lines out to second baseman Thairo Estrada.",0,11,10,87,"bottom",9,"2023-09-17T22:25:14.339Z","2023-09-17T22:27:18.752Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,453568,"Charlie Blackmon","/api/v1/people/453568","L","Left",573124,"Taylor Rogers","/api/v1/people/573124","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",78.5,73.2,14,0.9,0.4759,5.7445,18.4686,-33.248,-6.115,-0.7942,1.1074,2.5339,0.8457,-114.4982,0.5049,1.5317,50.0049,5.5291,-8.2296,13.2,10.8,24,2767,290,64.8,19,170,NA,NA,NA,TRUE,-44.8,-1.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",3,"2023-09-17T22:25:16.605Z","2023-09-17T22:25:23.613Z",TRUE,"pitch","382f0344-1330-46c2-ac35-bf736cdc9395",1,"Foul",NA,NA,NA,NA,TRUE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.52,1.68,NA,70.3,141.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Lineout","field_out","Charlie Blackmon lines out to second baseman Thairo Estrada.",0,11,10,87,"bottom",9,"2023-09-17T22:25:14.339Z","2023-09-17T22:27:18.752Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,453568,"Charlie Blackmon","/api/v1/people/453568","L","Left",573124,"Taylor Rogers","/api/v1/people/573124","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,87.3,12,0.9,0.3959,5.9016,27.9072,-24.1541,7.9458,4.1296,1.2252,3.6082,-3.1117,-137.8523,-1.1125,1.3301,50.0055,5.6332,15.4405,31.2,6,24,2122,118,NA,NA,NA,NA,NA,NA,FALSE,-22.8,7.4,-13.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"MI",115,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",0,"2023-09-17T22:22:53.732Z","2023-09-17T22:23:37.982Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",11,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"87","atBat","Lineout","field_out","Charlie Blackmon lines out to second baseman Thairo Estrada.",0,11,10,87,"bottom",9,"2023-09-17T22:25:14.339Z","2023-09-17T22:27:18.752Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,453568,"Charlie Blackmon","/api/v1/people/453568","L","Left",573124,"Taylor Rogers","/api/v1/people/573124","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",1,"2023-09-17T22:23:37.982Z","2023-09-17T22:25:03.766Z",FALSE,"action",NA,NA,"Pitching Change: Taylor Rogers replaces Camilo Doval.","Pitching Substitution",11,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,573124,"/api/v1/people/573124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"87","atBat","Lineout","field_out","Charlie Blackmon lines out to second baseman Thairo Estrada.",0,11,10,87,"bottom",9,"2023-09-17T22:25:14.339Z","2023-09-17T22:27:18.752Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,453568,"Charlie Blackmon","/api/v1/people/453568","L","Left",573124,"Taylor Rogers","/api/v1/people/573124","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",2,"2023-09-17T22:25:03.766Z","2023-09-17T22:25:16.605Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Ryan McMahon replaces Elias Diaz.","Offensive Substitution",11,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,641857,"/api/v1/people/641857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","902","87","atBat","Lineout","field_out","Charlie Blackmon lines out to second baseman Thairo Estrada.",0,11,10,87,"bottom",9,"2023-09-17T22:25:14.339Z","2023-09-17T22:27:18.752Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,453568,"Charlie Blackmon","/api/v1/people/453568","L","Left",573124,"Taylor Rogers","/api/v1/people/573124","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,553869,"/api/v1/people/553869",1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",5,"2023-09-17T22:22:16.145Z","2023-09-17T22:22:26.441Z",TRUE,"pitch","e7feed0f-1e0f-4e09-a285-7ecdb1da06c9",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,2,NA,NA,3.15,1.42,NA,102.05,187.44,"ground_ball","medium","9",190.36,134.85,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Elias Diaz singles on a ground ball to right fielder Mike Yastrzemski. Brendan Rodgers scores. Sean Bouchard scores.",2,11,10,86,"bottom",9,"2023-09-17T22:21:53.534Z","2023-09-17T22:22:26.441Z",TRUE,TRUE,FALSE,FALSE,90,0,1,2,553869,"Elias Díaz","/api/v1/people/553869","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",99.4,92.4,9,2,0.3762,7.193,28.575,-20.8858,-1.7971,5.2376,0.3922,1.9013,7.0913,-144.7065,-5.8349,-1.8393,50.006,5.1926,-3.8762,6,3.6,24,2437,225,89,-3,25,NA,NA,NA,FALSE,-18.6,8.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,553869,"Elias Díaz","/api/v1/people/553869"
716540,"2023-09-17",3,"2023-09-17T22:21:55.912Z","2023-09-17T22:22:00.911Z",TRUE,"pitch","7d1465fb-9d42-421a-acde-ccf98a20e193",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2148,1.4714,NA,117.25,182.85,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"86","atBat","Single","single","Elias Diaz singles on a ground ball to right fielder Mike Yastrzemski. Brendan Rodgers scores. Sean Bouchard scores.",2,11,10,86,"bottom",9,"2023-09-17T22:21:53.534Z","2023-09-17T22:22:26.441Z",TRUE,TRUE,FALSE,FALSE,90,0,1,2,553869,"Elias Díaz","/api/v1/people/553869","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",98.7,91.8,5,2,0.3785,7.3318,27.8668,-20.8817,-1.1766,5.3056,-0.0065,2.0714,5.8064,-143.7421,-5.1059,-1.8847,50.0054,5.1359,-2.5061,3.6,3.6,24,2473,220,NA,NA,NA,NA,NA,NA,FALSE,-18.7,9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",0,"2023-09-17T22:21:10.179Z","2023-09-17T22:21:25.218Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Elias Diaz replaces Austin Wynns.","Offensive Substitution",11,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,553869,"/api/v1/people/553869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","86","atBat","Single","single","Elias Diaz singles on a ground ball to right fielder Mike Yastrzemski. Brendan Rodgers scores. Sean Bouchard scores.",2,11,10,86,"bottom",9,"2023-09-17T22:21:53.534Z","2023-09-17T22:22:26.441Z",TRUE,TRUE,FALSE,FALSE,90,0,1,2,553869,"Elias Díaz","/api/v1/people/553869","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,642851,"/api/v1/people/642851",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",1,"2023-09-17T22:21:25.218Z","2023-09-17T22:21:30.146Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Sean Bouchard replaces Kris Bryant.","Offensive Substitution",11,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,656248,"/api/v1/people/656248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","802","86","atBat","Single","single","Elias Diaz singles on a ground ball to right fielder Mike Yastrzemski. Brendan Rodgers scores. Sean Bouchard scores.",2,11,10,86,"bottom",9,"2023-09-17T22:21:53.534Z","2023-09-17T22:22:26.441Z",TRUE,TRUE,FALSE,FALSE,90,0,1,2,553869,"Elias Díaz","/api/v1/people/553869","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,592178,"/api/v1/people/592178",1,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716540,"2023-09-17",2,"2023-09-17T22:21:30.146Z","2023-09-17T22:21:55.912Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",11,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Elias Diaz singles on a ground ball to right fielder Mike Yastrzemski. Brendan Rodgers scores. Sean Bouchard scores.",2,11,10,86,"bottom",9,"2023-09-17T22:21:53.534Z","2023-09-17T22:22:26.441Z",TRUE,TRUE,FALSE,FALSE,90,0,1,2,553869,"Elias Díaz","/api/v1/people/553869","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
