"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718274,"2023-05-07",3,"2023-05-07T04:15:24.341Z","2023-05-07T04:15:28.028Z",TRUE,"pitch","daa7a3d2-993b-48ee-b3d1-c80299caec76",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.35,1.64,NA,60.51,202.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Mauricio Dubon strikes out swinging.",0,5,7,76,"top",9,"2023-05-07T04:14:50.910Z","2023-05-07T04:15:28.028Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,643289,"Mauricio Dubón","/api/v1/people/643289","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.8,78.2,14,0.89,0.4443,6.6037,23.8094,-21.7611,4.1465,6.7581,1.482,1.3611,10.7776,-123.15,-2.4865,-3.4846,50.0012,4.2191,6.3833,20.4,6,24,2508,78,NA,NA,NA,NA,NA,NA,TRUE,-26.2,11.9,-10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",2,"2023-05-07T04:15:08.701Z","2023-05-07T04:15:11.847Z",TRUE,"pitch","455c048e-2bf7-48a5-a651-d7a439e00de6",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.35,1.64,NA,136.75,171.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Mauricio Dubon strikes out swinging.",0,5,7,76,"top",9,"2023-05-07T04:14:50.910Z","2023-05-07T04:15:28.028Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,643289,"Mauricio Dubón","/api/v1/people/643289","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.9,84.9,4,0.9,0.4055,6.586,28.6288,-17.349,-7.1647,8.0197,-0.5181,2.5088,10.3701,-134.9403,-1.4806,-3.4754,50.005,4.2836,-13.2498,32.4,4.8,24,2447,242,NA,NA,NA,NA,NA,NA,FALSE,-17.3,14.4,10.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",1,"2023-05-07T04:14:53.207Z","2023-05-07T04:14:56.331Z",TRUE,"pitch","126347be-5b02-428a-8391-05551b275d5e",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.35,1.64,NA,138.3,174.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Mauricio Dubon strikes out swinging.",0,5,7,76,"top",9,"2023-05-07T04:14:50.910Z","2023-05-07T04:15:28.028Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,643289,"Mauricio Dubón","/api/v1/people/643289","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.3,77.4,4,0.9,0.4465,6.4795,24.1313,-22.6109,5.444,6.2718,-0.5587,2.3697,5.9356,-122.6416,-0.0311,-3.7168,50.0004,4.3102,8.2943,22.8,6,24,2578,107,NA,NA,NA,NA,NA,NA,FALSE,-26.9,11.6,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",0,"2023-05-07T04:14:53.909Z","2023-05-07T04:14:54.909Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Mauricio Dubon strikes out swinging.",0,5,7,76,"top",9,"2023-05-07T04:14:50.910Z","2023-05-07T04:15:28.028Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,643289,"Mauricio Dubón","/api/v1/people/643289","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",2,"2023-05-07T04:13:56.830Z","2023-05-07T04:14:08.862Z",TRUE,"pitch","1e2dae11-00a4-47c8-93b4-03aabef993fe",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,1,2,NA,NA,3.21,1.51,NA,144.55,156.36,"line_drive","medium","7",38.66,111.53,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Jake Meyers doubles (6) on a line drive to left fielder Jarred Kelenic. Kyle Tucker scores. Jeremy Pena scores.",2,5,7,75,"top",9,"2023-05-07T04:13:05.373Z","2023-05-07T04:14:08.862Z",TRUE,TRUE,FALSE,FALSE,91,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85,77.8,1,0.89,0.443,6.3992,24.6383,-23.0711,4.3426,5.8784,-0.7229,3.0525,5.7787,-123.6534,1.3597,-3.6542,50.0036,4.4311,6.7237,19.2,6,24,2519,93,81,20,246,NA,NA,NA,FALSE,-26.6,11.3,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,676694,"Jake Meyers","/api/v1/people/676694",NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",1,"2023-05-07T04:13:41.724Z","2023-05-07T04:13:45.126Z",TRUE,"pitch","ad1f2123-7098-4258-a946-62d3c90f12b7",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4661,1.691,NA,72.1,181.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Jake Meyers doubles (6) on a line drive to left fielder Jarred Kelenic. Kyle Tucker scores. Jeremy Pena scores.",2,5,7,75,"top",9,"2023-05-07T04:13:05.373Z","2023-05-07T04:14:08.862Z",TRUE,TRUE,FALSE,FALSE,91,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.5,84.7,14,0.9,0.4083,6.8984,28.0597,-21.8129,-6.8715,5.6827,1.1779,2.1221,14.5027,-133.9912,-1.4404,-3.4043,50.0066,4.2203,-12.5395,22.8,4.8,24,2496,229,NA,NA,NA,NA,NA,NA,FALSE,-22,10.2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",0,"2023-05-07T04:13:26.016Z","2023-05-07T04:13:29.295Z",TRUE,"pitch","47d6e4f3-b026-4dca-86b9-3b4d374b8209",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4911,1.691,NA,89.15,196.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Jake Meyers doubles (6) on a line drive to left fielder Jarred Kelenic. Kyle Tucker scores. Jeremy Pena scores.",2,5,7,75,"top",9,"2023-05-07T04:13:05.373Z","2023-05-07T04:14:08.862Z",TRUE,TRUE,FALSE,FALSE,91,1,1,2,676694,"Jake Meyers","/api/v1/people/676694","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.9,77.2,9,0.9,0.449,6.4577,23.773,-23.2842,4.126,5.9007,0.7306,1.5798,8.9801,-121.936,-1.8193,-3.5348,50.0045,4.3427,6.2192,18,7.2,24,2447,77,NA,NA,NA,NA,NA,NA,FALSE,-28.4,10.4,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",4,"2023-05-07T04:12:55.975Z","2023-05-07T04:13:00.617Z",TRUE,"pitch","71e13a57-1c32-464e-aad5-211e11a185e0",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,1,NA,NA,3.4911,1.691,NA,116.27,187.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","David Hensley called out on strikes.",0,3,7,74,"top",9,"2023-05-07T04:11:23.833Z","2023-05-07T04:13:00.617Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,682073,"David Hensley","/api/v1/people/682073","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.6,77.6,8,0.9,0.4453,6.4766,24.8927,-22.9142,5.0003,6.0457,0.0193,1.8905,7.0009,-123.0856,-1.25,-3.5136,50.0016,4.3489,7.6545,21.6,6,24,2508,91,NA,NA,NA,NA,NA,NA,TRUE,-27.4,10.9,-10.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,665161,"Jeremy Peña","/api/v1/people/665161",663656,"Kyle Tucker","/api/v1/people/663656",NA,NA,NA,NA
718274,"2023-05-07",3,"2023-05-07T04:12:37.115Z","2023-05-07T04:12:40.888Z",TRUE,"pitch","205e4a30-4a95-4b0d-b1d8-760bfd0e0baa",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,1,NA,NA,3.616,1.766,NA,105.02,177.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","David Hensley called out on strikes.",0,3,7,74,"top",9,"2023-05-07T04:11:23.833Z","2023-05-07T04:13:00.617Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,682073,"David Hensley","/api/v1/people/682073","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.4,84.7,9,0.9,0.4077,6.6392,27.1372,-18.0136,-8.2177,7.7311,0.3142,2.2623,12.6402,-134.0174,-1.7737,-3.3812,50.0006,4.2103,-15.0482,34.8,4.8,24,2460,217,NA,NA,NA,NA,NA,NA,FALSE,-18.2,13.8,12.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718274,"2023-05-07",2,"2023-05-07T04:12:17.446Z","2023-05-07T04:12:20.446Z",TRUE,"pitch","0ded9885-c5d6-43d0-9e13-d4042c746378",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.35,1.63,NA,141.15,143.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","David Hensley called out on strikes.",0,3,7,74,"top",9,"2023-05-07T04:11:23.833Z","2023-05-07T04:13:00.617Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,682073,"David Hensley","/api/v1/people/682073","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.6,83.5,11,0.9,0.4115,6.6185,28.2663,-17.1985,-7.3252,8.3435,-0.6336,3.5289,10.0512,-133.0529,1.2301,-3.5066,50.0018,4.306,-13.1475,33.6,4.8,24,2478,245,NA,NA,NA,NA,NA,NA,FALSE,-17,15.6,11.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
