"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718609,"2023-04-12",3,"2023-04-12T22:47:05.187Z","2023-04-12T22:47:13.412Z",TRUE,"pitch","10384362-73a8-481b-b2db-1a521a2f99cd",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.37,1.65,NA,126.04,206.71,"fly_ball","medium","6",113.96,115.03,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Trea Turner flies out to shortstop Jon Berti.",0,3,2,78,"bottom",10,"2023-04-12T22:46:02.997Z","2023-04-12T22:47:13.412Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,607208,"Trea Turner","/api/v1/people/607208","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.8,77.9,13,0.9,0.4477,7.1141,21.7296,-27.2322,-2.8678,3.2492,-0.237,1.1878,-7.1428,-121.8716,-4.4052,3.0926,50.0012,5.3443,-4.3535,10.8,7.2,24,2374,290,72.1,47,216,NA,NA,NA,TRUE,-33.5,5.2,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",2,"2023-04-12T22:46:40.396Z","2023-04-12T22:46:45.739Z",TRUE,"pitch","84d61a18-412d-4f2d-9449-e65fbe25f76c",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.37,1.65,NA,74.16,165.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Trea Turner flies out to shortstop Jon Berti.",0,3,2,78,"bottom",10,"2023-04-12T22:46:02.997Z","2023-04-12T22:47:13.412Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,607208,"Trea Turner","/api/v1/people/607208","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.3,12,0.9,0.3972,7.1974,33.0371,-15.9742,8.2675,8.431,1.1239,2.7232,-8.2424,-138.2889,-4.7266,3.0799,50.0062,5.5385,15.8935,39.6,4.8,24,2301,132,NA,NA,NA,NA,NA,NA,FALSE,-16.1,14.4,-13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",1,"2023-04-12T22:46:23.434Z","2023-04-12T22:46:26.553Z",TRUE,"pitch","af842dc6-20b0-4a29-bed2-b819b7ba466d",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.243,1.5993,NA,104.17,182.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Trea Turner flies out to shortstop Jon Berti.",0,3,2,78,"bottom",10,"2023-04-12T22:46:02.997Z","2023-04-12T22:47:13.412Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,607208,"Trea Turner","/api/v1/people/607208","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.9,75.4,9,0.9,0.4565,7.0655,26.3509,-27.1105,-4.8994,3.4803,0.3367,2.0846,-5.5488,-120.5881,-2.271,3.3153,50.0005,5.4624,-7.1167,16.8,8.4,24,2410,284,NA,NA,NA,NA,NA,NA,FALSE,-34.3,6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",0,"2023-04-12T22:46:04.207Z","2023-04-12T22:46:09.746Z",TRUE,"pitch","fe700a07-dd9b-4aec-a3bf-890c38710293",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3198,1.6508,NA,154.13,190.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Trea Turner flies out to shortstop Jon Berti.",0,3,2,78,"bottom",10,"2023-04-12T22:46:02.997Z","2023-04-12T22:47:13.412Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,607208,"Trea Turner","/api/v1/people/607208","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.2,76.9,13,0.88,0.4495,7.2795,25.8101,-23.4002,-0.4354,5.8412,-0.974,1.7701,-9.6944,-122.2224,-3.9546,3.1129,50.0012,5.4368,-0.6513,6,6,24,2352,271,NA,NA,NA,NA,NA,NA,FALSE,-29.2,9.8,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",4,"2023-04-12T22:45:32.521Z","2023-04-12T22:45:37.161Z",TRUE,"pitch","4e726fbc-f627-4fda-9cba-fee2df1aa732",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,1,NA,NA,3.2954,1.555,NA,131.01,159.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Bryson Stott called out on strikes.",0,3,2,77,"bottom",10,"2023-04-12T22:44:04.919Z","2023-04-12T22:45:37.161Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.6,1,0.9,0.397,6.9968,32.0834,-17.4074,6.4277,7.6706,-0.3675,2.9386,-11.4179,-138.1879,-3.9375,2.9913,50.0028,5.5584,12.3752,27.6,4.8,24,2082,129,NA,NA,NA,NA,NA,NA,TRUE,-17.3,13.2,-9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,624641,"Edmundo Sosa","/api/v1/people/624641",NA,NA,NA,NA,NA,NA
718609,"2023-04-12",3,"2023-04-12T22:45:06.662Z","2023-04-12T22:45:10.411Z",TRUE,"pitch","137b194b-ced5-4694-a660-4ec33da3b1e7",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.32,1.58,NA,66.59,160.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Bryson Stott called out on strikes.",0,3,2,77,"bottom",10,"2023-04-12T22:44:04.919Z","2023-04-12T22:45:37.161Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,86.4,12,0.9,0.3979,6.922,30.951,-16.659,8.6263,8.0884,1.3226,2.9139,-7.7771,-137.7065,-4.1591,3.0644,50.0018,5.5728,16.5451,39.6,4.8,24,2285,126,NA,NA,NA,NA,NA,NA,FALSE,-16.7,13.9,-13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",2,"2023-04-12T22:44:49.561Z","2023-04-12T22:44:52.654Z",TRUE,"pitch","6d9e63ab-d63d-4b3e-ae48-d9d3bdf22df9",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.321,1.555,NA,124.91,157.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Bryson Stott called out on strikes.",0,3,2,77,"bottom",10,"2023-04-12T22:44:04.919Z","2023-04-12T22:45:37.161Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.2,2,0.89,0.3998,6.9763,29.8644,-17.7789,7.1388,7.5715,-0.2074,3.0101,-11.159,-136.9427,-3.7567,2.9904,50.0063,5.6139,13.5802,31.2,4.8,24,2274,129,NA,NA,NA,NA,NA,NA,FALSE,-17.8,13.1,-10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",1,"2023-04-12T22:44:31.598Z","2023-04-12T22:44:34.796Z",TRUE,"pitch","0e43664d-9f7a-4668-abed-26f7d09791bf",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.3466,1.5035,NA,134.4,164.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Bryson Stott called out on strikes.",0,3,2,77,"bottom",10,"2023-04-12T22:44:04.919Z","2023-04-12T22:45:37.161Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,85.6,4,0.9,0.4005,7.0279,33.724,-17.5817,6.9752,7.7225,-0.4564,2.7413,-11.7998,-137.3841,-4.342,3.0109,50.0035,5.5568,13.1819,28.8,4.8,24,2176,125,NA,NA,NA,NA,NA,NA,FALSE,-17.9,13.1,-9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",0,"2023-04-12T22:44:14.259Z","2023-04-12T22:44:18.859Z",TRUE,"pitch","2e7f80da-27dc-4311-85e1-2e45798fbcc6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3466,1.5292,NA,71.89,165.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Bryson Stott called out on strikes.",0,3,2,77,"bottom",10,"2023-04-12T22:44:04.919Z","2023-04-12T22:45:37.161Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,681082,"Bryson Stott","/api/v1/people/681082","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,86.2,12,0.9,0.3971,6.8674,34.7454,-16.985,7.8924,7.9028,1.1835,2.7025,-8.0818,-138.6426,-4.5972,3.1292,50.0015,5.5373,15.1652,36,4.8,24,2165,124,NA,NA,NA,NA,NA,NA,FALSE,-17,13.3,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718609,"2023-04-12",2,"2023-04-12T22:43:39.352Z","2023-04-12T22:43:47.632Z",TRUE,"pitch","174e7d15-acdd-4762-9c82-2b0bc07055e4",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.45,1.63,NA,167.21,172.25,"popup","medium","5",106.41,167.5,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Pop Out","field_out","Cristian Pache pops out to third baseman Jean Segura.",0,3,2,76,"bottom",10,"2023-04-12T22:43:36.992Z","2023-04-12T22:43:47.632Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,665506,"Cristian Pache","/api/v1/people/665506","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,85.7,13,0.9,0.4024,7.0054,30.9241,-17.4105,6.3105,7.8742,-1.3172,2.4642,-13.8217,-136.2937,-4.8497,3.0077,50.0031,5.4752,11.8335,25.2,4.8,24,2183,130,43.5,53,100,NA,NA,NA,TRUE,-18,13.3,-8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,624641,"Edmundo Sosa","/api/v1/people/624641",NA,NA,NA,NA,NA,NA
