"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717218,"2023-07-29",2,"2023-07-29T22:49:05.714Z","2023-07-29T22:49:13.247Z",TRUE,"pitch","86250dc4-2a74-4c72-8a01-78a56b5ca060",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.56,1.63,NA,134.35,176.16,"ground_ball","medium","6",103.13,154.48,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Dane Myers grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",0,5,0,70,"bottom",9,"2023-07-29T22:48:28.297Z","2023-07-29T22:49:13.247Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85.6,77.9,4,2,0.4419,6.2468,28.0377,-36.0089,-0.9293,-2.4743,-0.4552,2.3194,3.9409,-124.5699,-1.0808,-1.9459,50.0015,5.7705,-1.442,1.2,9.6,24,2229,35,92.6,-1,40,NA,NA,NA,TRUE,-42.1,-4.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",1,"2023-07-29T22:48:51.222Z","2023-07-29T22:48:54.792Z",TRUE,"pitch","5ac1fb20-a55b-48e1-9208-b5c8bd1303d3",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.4799,1.5691,NA,96.27,189.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Dane Myers grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",0,5,0,70,"bottom",9,"2023-07-29T22:48:28.297Z","2023-07-29T22:49:13.247Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87.1,9,0.9,0.3952,6.7911,32.7438,-23.8732,-10.7046,4.2692,0.5438,1.8093,10.253,-138.898,-5.8241,-1.8147,50.0005,5.5331,-20.7965,36,6,24,2157,228,NA,NA,NA,NA,NA,NA,FALSE,-23.5,6.6,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",0,"2023-07-29T22:48:37.320Z","2023-07-29T22:48:41.410Z",TRUE,"pitch","4946fc98-396f-4fb2-b652-9514758a45cf",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6007,1.5691,NA,100.69,201.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Dane Myers grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",0,5,0,70,"bottom",9,"2023-07-29T22:48:28.297Z","2023-07-29T22:49:13.247Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88.2,14,0.9,0.3919,6.4522,31.603,-22.7079,-10.2648,4.786,0.4278,1.3771,9.6093,-139.7799,-7.4291,-1.7214,50.0025,5.5609,-20.3052,37.2,6,24,2198,226,NA,NA,NA,NA,NA,NA,FALSE,-22.4,7.2,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",6,"2023-07-29T22:48:07.506Z","2023-07-29T22:48:12.821Z",TRUE,"pitch","23841880-2bf1-47e4-b215-ea0a67859b4f",6,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",3,3,1,NA,NA,3.52,1.69,NA,108.55,225.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.1,80.5,14,2,0.4297,6.5486,29.3449,-34.3545,-2.1686,-1.3303,0.2218,0.4821,6.0482,-128.0432,-6.0233,-1.9015,50.0025,5.5915,-3.5593,3.6,8.4,24,2256,20,NA,NA,NA,NA,NA,NA,TRUE,-39.4,-3.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",5,"2023-07-29T22:47:43.799Z","2023-07-29T22:47:48.413Z",TRUE,"pitch","316cba69-9fe5-4298-822e-ac610524ec15",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,1,NA,NA,3.52,1.69,NA,104.42,224.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.5,79.7,14,2,0.4362,6.2836,26.7754,-36.4445,-0.6755,-2.6725,0.3299,0.5285,5.7118,-125.8334,-5.2545,-1.8868,50.0057,5.614,-1.078,0,9.6,24,2185,22,NA,NA,NA,NA,NA,NA,FALSE,-42.6,-5.9,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",4,"2023-07-29T22:47:27.932Z","2023-07-29T22:47:31.300Z",TRUE,"pitch","c17b65b5-7216-4857-8f47-05b5c45991c5",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.3188,1.5675,NA,115.37,229.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.4,82.2,14,0.93,0.4223,6.691,27.285,-28.8308,-10.7463,1.9589,0.0426,0.3273,8.0738,-129.744,-7.7256,-1.7142,50.0015,5.5424,-18.3098,28.8,8.4,24,1801,244,NA,NA,NA,NA,NA,NA,FALSE,-32.4,2,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",3,"2023-07-29T22:47:06.998Z","2023-07-29T22:47:10.279Z",TRUE,"pitch","b46c1625-8127-46b6-9ff4-c25a53105826",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.3794,1.5881,NA,56.72,228.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,89.1,14,0.9,0.3903,6.464,30.289,-26.194,-11.0648,2.9947,1.5815,0.3748,13.3572,-140.0781,-9.2644,-1.8008,50.0032,5.4248,-22.0908,34.8,7.2,24,2197,226,NA,NA,NA,NA,NA,NA,FALSE,-25.8,3.6,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",2,"2023-07-29T22:46:49.449Z","2023-07-29T22:46:52.486Z",TRUE,"pitch","5fabdb39-9c76-40e5-98e7-04ef3fa327a7",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.52,1.69,NA,132.62,198.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.2,82.3,13,0.93,0.4215,6.3792,26.3145,-31.403,-10.587,0.446,-0.4098,1.4785,7.1369,-129.7727,-4.6636,-1.8156,50.0004,5.6819,-18.1148,27.6,8.4,24,1806,244,NA,NA,NA,NA,NA,NA,FALSE,-34.3,0,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",1,"2023-07-29T22:46:33.496Z","2023-07-29T22:46:37.304Z",TRUE,"pitch","3eeae401-7fd8-486b-98e6-2f560f4d1076",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2177,1.5264,NA,144.85,209.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.6,79.4,13,2,0.436,6.4538,27.4428,-38.4926,-1.8695,-3.958,-0.7306,1.0856,4.3813,-125.9955,-3.1652,-2.2552,50.0058,5.4932,-2.9838,3.6,9.6,24,2143,45,NA,NA,NA,NA,NA,NA,FALSE,-44.4,-7.7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717218,"2023-07-29",0,"2023-07-29T22:46:11.632Z","2023-07-29T22:46:33.496Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Jesus Sanchez replaces Jacob Stallings.","Offensive Substitution",5,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,660821,"/api/v1/people/660821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","69","atBat","Strikeout","strikeout","Jesus Sanchez strikes out swinging.",0,5,0,69,"bottom",9,"2023-07-29T22:46:31.172Z","2023-07-29T22:48:12.821Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,607732,"/api/v1/people/607732",NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
